nro_documento,parentesco,Legajo
264872312,Hija,45028763
469379850,Hija,52337960
711981200,Hijo,79933742
675709771,Madre,46503859
118553197,Madre,72373226
860808824,Conyuge,83601035
46557379,Conyuge,1211931
469999429,Conyuge,63165697
911965543,Hijo,23103052
526959632,Hija,47922933
792089860,Padre,98385784
528068978,Hija,71288656
475439735,Conyuge,78424940
953826117,Hija,98903838
870768464,Madre,16654497
634464875,Conyuge,90725962
783076129,Madre,95630222
394673850,Madre,13843944
214406154,Padre,42091252
541489714,Hijo,26960512
422954702,Conyuge,2369771
281954779,Conyuge,51996136
753403977,Hijo,52576935
398103470,Conyuge,15941918
497934820,Hija,13982134
235972798,Madre,11795859
896046032,Hija,6689881
640053582,Padre,51089712
169422519,Hijo,79035696
660607583,Hijo,23868637
681740222,Conyuge,9125643
123081080,Hija,73238937
914956205,Conyuge,55531884
974111135,Padre,10785749
456375883,Madre,82577341
111046365,Padre,65475860
320534310,Madre,32792608
273119772,Hija,14821415
405825734,Madre,50854617
32823899,Padre,18173456
227758727,Conyuge,62327628
858881784,Hija,61527201
565917415,Hijo,39912226
522843627,Hijo,11044537
284348253,Madre,20716104
265214660,Madre,22109456
211358091,Padre,32304453
49576527,Padre,4585511
965991274,Hijo,84464605
631090143,Madre,86259129
749638048,Padre,24283339
749385900,Hija,48868790
899157830,Padre,82306132
196110001,Hijo,48569214
344058023,Padre,12952368
601348201,Padre,96094731
159433294,Padre,88873550
333526818,Conyuge,78132081
977066611,Hija,34623496
988351280,Hijo,33633361
340398652,Padre,22628378
977067166,Madre,86548744
696628328,Padre,64689883
148819147,Hija,28202463
151812701,Hijo,86294344
723711307,Hijo,41329248
73218451,Hija,31207754
919301359,Hija,20361153
815088289,Madre,25265380
886955339,Padre,64569521
347428440,Padre,71022619
560337060,Hija,26400645
78615946,Hijo,41610451
835364838,Padre,73633536
925826413,Hijo,8589652
300420101,Padre,68641300
504280630,Padre,44448
118643451,Conyuge,64116089
433911282,Hija,90593967
985268699,Conyuge,65649267
482598280,Padre,54347148
893398948,Hijo,48540755
826621694,Conyuge,65013617
614736241,Hijo,21360009
335087434,Padre,83892642
91802020,Padre,16501351
37512206,Conyuge,40089251
384937537,Hijo,51930226
724181433,Madre,53086725
166079517,Hija,68283034
792412206,Padre,32996535
994595345,Conyuge,21742142
293539546,Hija,37575887
279209159,Padre,58360877
549402317,Hija,11021529
409991449,Madre,32944416
796352893,Conyuge,8465456
202433612,Conyuge,56120408
920064599,Madre,95602557
296349877,Madre,132180
984883450,Padre,2195957
226613813,Hijo,38321097
229217163,Madre,28421814
134387301,Madre,99025857
606539440,Hijo,85828442
753534353,Hijo,72751798
439924689,Conyuge,77576612
711981200,Hija,14941622
324685246,Padre,61987723
430418071,Hija,77070668
492653523,Padre,66542000
649938899,Conyuge,68204000
870228233,Conyuge,47664317
982671888,Madre,8647006
367454350,Conyuge,99189957
846077864,Hijo,43859997
663305805,Hija,39365775
895545943,Conyuge,36050762
388216851,Hija,75889106
977187839,Madre,4918553
549934129,Conyuge,70595929
264318749,Padre,38791003
105543998,Padre,74386811
380285610,Conyuge,95275436
856906771,Hijo,4692763
801431577,Padre,4982796
625916093,Madre,30624239
683068482,Madre,96971201
267829902,Madre,41879964
153164944,Padre,85078393
207814228,Conyuge,4128582
972675974,Hija,11451116
737024508,Padre,59499911
789174713,Conyuge,81617142
801393991,Madre,45974313
335625810,Padre,4484579
945046396,Hija,19548457
611939443,Hija,39994980
91634038,Conyuge,37030777
881901905,Madre,53693827
68038419,Madre,23150001
368754557,Padre,75962356
161126946,Conyuge,63145777
865518168,Hijo,90299563
563428613,Hijo,80312361
579605124,Hijo,55120754
813872561,Hijo,42432936
171110338,Padre,48382024
185325223,Madre,18470280
266407589,Hijo,42546651
784808212,Conyuge,30083534
213566404,Hijo,17269211
482169328,Hijo,18120737
143013912,Hijo,51973256
104495847,Hijo,2851447
430521230,Madre,89931400
789013767,Hija,63055195
515983603,Madre,48916635
694057738,Padre,42108239
649307533,Hijo,45411879
958593397,Hijo,47229183
422074316,Madre,12492750
632288880,Hijo,73249814
996720040,Madre,90120138
551918511,Padre,94420076
407333467,Hija,17004904
73015620,Hija,505235
401215461,Hijo,74226514
481698620,Conyuge,57872564
595735517,Hija,49039707
537802172,Hijo,2938131
757308650,Padre,41682895
646280478,Madre,32564091
714023391,Hija,9194792
175041917,Hijo,55023161
808014795,Madre,62730635
817290754,Hijo,9998933
815088289,Padre,49012365
360729102,Hija,83777225
690830121,Madre,9121983
755512523,Madre,42831521
871374679,Hija,50094668
405074028,Conyuge,90741148
661073111,Hija,75267300
710881698,Hijo,90380528
12359524,Padre,78085099
865928372,Conyuge,78054725
482953314,Hija,97151106
490014079,Conyuge,50488787
523634721,Madre,6093228
781875491,Hijo,16034382
677314231,Hija,90203286
932672131,Hija,35773096
670542263,Conyuge,41308553
283161220,Hijo,99269008
602209572,Madre,54809962
405800103,Hija,19897090
172395964,Hijo,22227873
658400125,Hija,18477613
425210440,Conyuge,68293789
624052206,Hijo,32280806
181596453,Hija,38581897
430845998,Conyuge,64192856
101626788,Conyuge,52835453
526830591,Padre,10861189
835467591,Conyuge,55556657
909688594,Hija,16598574
94851673,Hija,68821866
733444291,Padre,51771991
986680167,Hija,82044742
268873299,Conyuge,44245211
103571073,Hijo,947250
952156575,Padre,63369189
968786199,Hija,80004090
94061197,Hijo,52615872
326167133,Hijo,39323361
776088041,Padre,53499942
74389194,Padre,15396822
299826650,Hijo,45613460
196104687,Hijo,52165085
609039196,Madre,16391407
380118043,Hija,46368291
124673867,Padre,5349939
795098563,Hija,70064738
732818970,Padre,89579058
721271522,Hija,44376640
885785166,Padre,83334546
564827828,Hija,55088406
132703605,Conyuge,64541413
191104172,Madre,20379180
499481967,Hijo,12543683
136688651,Conyuge,37997060
189232455,Madre,98986909
886729862,Madre,44312868
323325253,Padre,28985740
600892117,Padre,60111913
653710316,Hijo,39559668
97806301,Padre,77129887
946065721,Padre,83009065
725229935,Hija,98393971
674089114,Madre,65536084
909160128,Hija,20197706
897066899,Padre,45516459
339073239,Conyuge,58689459
635394847,Conyuge,98520169
491737081,Padre,34106116
954883712,Padre,6583429
462095020,Padre,1851813
649543716,Conyuge,82339148
662618312,Madre,38834882
897837860,Hijo,66197599
719843835,Hijo,2291804
136419099,Padre,3316021
465220413,Hija,52810393
218271115,Conyuge,50092531
588995153,Conyuge,75695855
547487076,Hija,58578937
23392242,Hijo,70036499
112641143,Hijo,59975903
325342541,Conyuge,73790285
84097109,Padre,81012274
672029973,Hijo,63593723
464340037,Hijo,22014990
26505817,Hijo,24078946
682670938,Padre,10346340
995683096,Hija,51975554
324017953,Hija,83889860
182381480,Conyuge,77577946
516757045,Conyuge,93846596
510959386,Madre,28878775
541489714,Hija,78221802
233100644,Conyuge,53774991
337318019,Conyuge,75008752
169768203,Padre,84064706
189711682,Madre,39552429
600629892,Hijo,59763627
109720750,Madre,25207482
623662039,Hijo,59978830
218859854,Conyuge,35550467
666863952,Conyuge,58959013
306705972,Madre,73409829
163700183,Conyuge,47276807
143807037,Hijo,98494579
101772332,Hija,67227569
400448760,Hijo,38680962
729105271,Conyuge,21382940
98269550,Hija,23033793
929095577,Hija,93075766
442468002,Hija,46906820
960937519,Padre,78050761
494148126,Conyuge,3441512
150830290,Conyuge,62159737
264393598,Padre,83047523
449573042,Hijo,71577355
916737970,Hijo,76938781
863927841,Madre,42170597
257015928,Madre,30340310
468404423,Padre,12218502
42795970,Hijo,40224660
645610967,Hijo,35515755
617676367,Hija,71408031
259051130,Conyuge,14205991
319695704,Hija,25615870
50017609,Conyuge,16756683
293438506,Madre,57754928
469396341,Hijo,50058596
568616815,Hija,55372433
145045556,Hija,86789747
58898678,Hijo,92234736
903493028,Hijo,784536
976543063,Hijo,88158357
704385330,Hijo,6941312
758485234,Padre,83762915
29523641,Madre,58963724
436299463,Madre,77534396
933997523,Padre,3140464
81510503,Padre,80930825
146649262,Hija,20786374
920711813,Hijo,84140755
166430778,Padre,1268511
887328118,Padre,32648872
805095888,Hija,73809765
880553514,Hijo,695651
287576443,Hijo,43352766
440850963,Hija,42252931
635099557,Hijo,47156078
86134049,Hijo,10944589
943911940,Hijo,42222535
104222596,Conyuge,19637565
330909110,Conyuge,55308365
447115914,Conyuge,59859336
481199296,Hijo,49499234
669199111,Madre,94274378
749344592,Madre,21823038
813293919,Padre,78622017
963522269,Padre,82831819
331968232,Hijo,77265897
741886714,Hijo,39649555
89354767,Conyuge,95376923
394277869,Hija,5452599
67094503,Madre,12679174
53859608,Hija,3455194
398191166,Hijo,31954839
906569644,Conyuge,83807293
576836619,Madre,45425432
872781288,Hija,16634334
961605711,Madre,89701605
547227480,Padre,84770287
12004784,Conyuge,78844664
315840377,Hija,53316099
55139434,Hija,50132460
336372480,Conyuge,36363538
718762885,Hija,80153504
362842985,Hija,56277150
794609820,Hijo,73924916
433239617,Padre,30927292
51627371,Hija,1633090
66023380,Hija,81507339
178273259,Conyuge,47251005
619998572,Hija,41754820
188777335,Madre,5262009
482640554,Hijo,12454677
884491705,Conyuge,5911316
248203212,Padre,62934941
563714071,Hija,94063883
514586435,Padre,31042513
330387714,Padre,9879482
82303149,Hija,92559730
369069928,Hijo,27694514
243945030,Hija,7240894
595761240,Conyuge,44252506
86563875,Hijo,28320970
806359977,Padre,83847329
67795174,Padre,53957542
19438768,Hija,18906963
628894281,Hijo,56101201
260163942,Hijo,57291077
480805638,Madre,83575805
797187207,Hija,6197372
690834827,Hija,32444843
351605708,Hija,48940871
992359705,Hija,64457226
938548476,Padre,34824944
101816305,Hija,59262474
703711466,Hijo,67286485
576590796,Padre,36016253
445146533,Madre,18490232
379519639,Madre,26926210
214480851,Madre,46653731
721318146,Padre,70564744
863840452,Hijo,42355493
355652821,Conyuge,38457606
235334252,Hija,99175111
277608164,Padre,1091082
599637231,Hijo,26373945
222561909,Hija,18767226
286137599,Conyuge,34688906
631694289,Padre,45205592
217965417,Padre,45205592
792412206,Padre,22537537
294318153,Hija,94098111
191104172,Conyuge,58183599
176286276,Hija,21597660
680341258,Madre,95194036
298339256,Conyuge,98500645
898302648,Hijo,39705258
164770048,Conyuge,69780612
875178276,Hija,39175067
348498827,Hijo,25512875
663309493,Hijo,70270612
419481881,Hija,46379948
288300695,Hijo,90842417
450297852,Conyuge,62068619
615283288,Hija,39941360
718920853,Hija,63124260
158509755,Padre,27660488
285015611,Conyuge,92214565
136688651,Madre,44820713
124850591,Conyuge,37111281
272391869,Madre,68328135
482771177,Hija,59520846
395936611,Madre,3741777
261616766,Madre,44394359
773205743,Hija,70752635
287809015,Padre,64174731
622195410,Madre,64129525
885072771,Padre,58830521
337778688,Padre,50211974
820665208,Padre,93062672
332314625,Madre,16076388
886915711,Hijo,72031404
876436927,Padre,24113843
882620041,Conyuge,79567775
569218286,Madre,39207279
433706644,Madre,38679852
119584374,Padre,92822187
267468397,Conyuge,17654086
674663790,Hijo,96556531
739960088,Padre,90409175
130811187,Madre,16952477
213918658,Conyuge,90922664
945470565,Padre,51043496
551501065,Padre,31608509
957589918,Padre,61681049
80801468,Madre,20484287
594916162,Madre,51801248
276774623,Hija,99498133
958771473,Conyuge,43525771
498247792,Hija,57054783
187026495,Padre,78134452
996769538,Madre,68835642
485852538,Padre,72917980
497934820,Hijo,59253358
543796571,Conyuge,85424026
762635290,Hijo,64217211
661004679,Hijo,31349078
634947368,Conyuge,26735384
652190124,Madre,91600926
866260004,Padre,42921478
924646984,Madre,46673312
873096691,Conyuge,98256387
786710043,Hija,4341964
56091611,Padre,66789239
398716109,Hija,65983101
715309942,Hijo,88273114
532618794,Madre,18642161
666557997,Madre,33376936
145910686,Hijo,30102931
814572373,Conyuge,53144010
689686169,Hija,18198491
947501385,Hija,66154873
893289825,Madre,93116687
675801928,Hija,10912310
564477195,Hija,15325850
31858133,Hijo,15940291
376205018,Conyuge,44636304
211817202,Madre,96347870
726094611,Conyuge,60454404
155472058,Conyuge,35649206
949599187,Padre,7703013
483308163,Conyuge,7706573
667680097,Conyuge,16012471
412478362,Madre,19130273
27774467,Conyuge,28878775
477248374,Madre,20533005
776503594,Padre,12222431
106969551,Madre,73079452
761814673,Hijo,28488822
885187586,Hija,73958362
488141018,Madre,59245883
365990964,Conyuge,50675730
537880139,Hijo,68425350
543619063,Madre,13410549
92688036,Hija,75192603
481446909,Madre,61230694
619057760,Madre,18920007
28629522,Hija,17625336
577754933,Padre,64006386
547717695,Hija,98307148
557040825,Hijo,94954814
200225774,Padre,7599780
84816727,Madre,10531916
302545419,Conyuge,19493505
420072175,Madre,51281051
465729851,Hija,24994567
874261557,Madre,48576992
239591861,Hija,43771055
587558330,Hijo,2265748
385764613,Hija,90717789
555431890,Hijo,69337729
721370061,Madre,8945080
619748485,Hijo,98231364
420188291,Padre,79631737
936997924,Madre,63699212
374663772,Madre,82843034
915437271,Madre,13856606
400331813,Hijo,18780349
654506554,Hija,3311536
269389766,Hijo,1112668
913928802,Hijo,83993188
427761140,Madre,15539694
797326669,Hija,50450796
837992841,Hija,91580642
760613501,Hijo,31605654
657285755,Hijo,36249581
549137241,Conyuge,23420602
768237498,Padre,10432073
164770048,Padre,39646324
956341799,Madre,36941969
647389786,Hijo,35051277
861610393,Madre,37905809
49037318,Hijo,92294499
775821366,Madre,75757368
256909414,Conyuge,66517076
663047020,Hija,62122107
329729168,Conyuge,64116089
642663629,Hijo,40896286
939629643,Hija,65648159
537460559,Hijo,27549954
518000541,Padre,85379832
527168088,Madre,7237944
30036742,Hijo,9121983
61959763,Conyuge,39933662
896022355,Hijo,68790824
190893491,Hijo,55481144
654832909,Madre,80605443
304215720,Hijo,85064136
737945605,Hijo,8405334
884067983,Conyuge,25888907
542638521,Padre,62484337
105296605,Conyuge,42826262
240721334,Padre,24246668
851856857,Padre,14673897
329207016,Conyuge,62594122
468384271,Hija,43788424
106147715,Hijo,71912990
830357981,Padre,54734468
924490680,Conyuge,60950915
696964741,Padre,5444586
102679839,Conyuge,51977184
990386665,Conyuge,2689472
155046584,Hija,36166799
728492399,Hijo,40164578
236867748,Hija,54819880
567006271,Conyuge,37277929
157431833,Madre,1307545
313244475,Conyuge,45874474
11338080,Hijo,48613877
566777813,Padre,12975936
874261557,Madre,44869214
777085699,Hija,10884265
177711883,Padre,20758110
821900566,Madre,28503874
855275711,Hija,69843911
604021611,Madre,66398906
826437991,Hija,9141066
625311530,Conyuge,33480407
503943126,Madre,27249683
600508755,Padre,27201444
168183171,Hijo,48540755
803337592,Conyuge,78027414
482256046,Hijo,35102398
135802429,Hijo,346973
433407690,Padre,41551889
209980114,Conyuge,55769184
249240883,Madre,50857627
743115083,Conyuge,91199592
706495585,Conyuge,72421884
218364603,Conyuge,22886588
582996244,Padre,93390830
940545363,Conyuge,25482023
502098736,Hijo,67727429
404566577,Hijo,30167281
77632229,Hijo,6833943
842285657,Hijo,66064651
228170328,Hijo,93070521
815292828,Conyuge,79946063
687792591,Madre,34332614
819594980,Conyuge,88931104
204505138,Hijo,45034476
148115074,Madre,4180682
846077864,Hijo,33881854
229217163,Hija,89243722
433558409,Hija,24082285
736569486,Conyuge,57057173
880706723,Hija,79228138
166527356,Hija,29735321
251221366,Madre,15297808
474665670,Padre,87217270
648937753,Padre,51985475
218973504,Padre,93891626
598161318,Madre,50523563
457930312,Hijo,1995743
574060138,Madre,66359372
54193675,Hijo,90752101
762688522,Hija,49406752
602749970,Conyuge,61287434
202162393,Hija,2438465
274609685,Hija,4503027
428994417,Hija,96582916
564498979,Conyuge,58752046
760006323,Conyuge,98870510
592215376,Hija,86295769
111413620,Hijo,80113172
148528175,Padre,10817065
253285990,Hijo,81375850
595557341,Madre,56443180
746135859,Hijo,50680865
101772332,Hija,73445839
372104943,Madre,32705278
12359524,Padre,5238912
428901464,Madre,68986321
135718723,Padre,5820680
755384693,Madre,27066652
896950166,Conyuge,24850654
243468673,Conyuge,97987295
544916410,Madre,95873782
891111440,Hijo,27293029
834801139,Conyuge,52198416
506395746,Madre,12140182
730765694,Madre,95455319
902859740,Hija,23004301
211399524,Hija,20653763
454262616,Padre,16387106
144149448,Conyuge,24753314
579509885,Conyuge,84655037
252019588,Hija,9501148
83934643,Madre,90771334
163974569,Madre,99994155
135325239,Hijo,73489415
775965548,Padre,52637627
104138211,Hijo,22380726
536035284,Hija,28872240
278179830,Hijo,24516308
19242238,Madre,13529881
49688981,Conyuge,93911100
81758547,Hijo,2805346
624523039,Conyuge,32039945
912624755,Padre,24589413
878057096,Padre,59075013
812163095,Padre,39665081
681233979,Madre,57532381
245198118,Padre,46500004
797516999,Conyuge,4329239
561492908,Madre,92772459
671603645,Conyuge,71744530
906301077,Conyuge,32987102
34699877,Conyuge,10540185
936735394,Hija,81834528
35952207,Hijo,8674689
943253391,Conyuge,41756009
103461984,Madre,81690148
762355917,Madre,67285358
715568407,Padre,12759831
365398983,Hija,81118299
911138588,Hijo,18486785
319951469,Conyuge,47061819
279648272,Hijo,79650223
561785500,Padre,46839813
42321113,Hija,84012290
158748328,Madre,81972563
784904306,Conyuge,84073357
746578889,Conyuge,63331693
608693239,Madre,48914269
465903680,Padre,49022623
151997407,Madre,33559300
814738429,Padre,46333566
391179420,Madre,56666630
682739159,Hija,91131791
467966976,Hijo,97464392
809632974,Hijo,13874789
339950656,Madre,66638646
738864549,Madre,25849891
66602317,Conyuge,75884077
958919510,Madre,40988936
809980393,Padre,79802288
622195410,Padre,1691039
171791896,Madre,84671633
571456212,Padre,13205493
140740045,Hijo,28217863
512149646,Madre,10981493
456150089,Hija,48571064
130107781,Hija,4762688
112138309,Madre,34900605
557661692,Conyuge,3474947
90032125,Hijo,39630440
617339019,Padre,3311330
241342001,Hija,97780048
775758679,Conyuge,54931776
342247529,Madre,3898243
968474079,Padre,34683553
868317897,Madre,47118037
914326344,Conyuge,50999796
263239052,Hijo,17513176
219950523,Hija,64633083
241196325,Padre,20794210
595533471,Madre,59393032
618778325,Conyuge,13210136
995707859,Madre,90658063
61765663,Hija,61957762
836644041,Conyuge,6004970
744273023,Conyuge,8758290
370642149,Hijo,80297964
621604999,Hijo,43116333
148758926,Conyuge,26691585
14088811,Padre,78744434
627128360,Hijo,55703640
532413602,Hija,63000889
917241316,Madre,44376640
647596871,Padre,99861759
889710483,Padre,62341252
975731581,Hija,24413975
983753480,Padre,63259247
809685211,Padre,93893676
516778650,Hijo,44342544
366332706,Hijo,642430
825182362,Hijo,96854404
887948373,Padre,21341922
639404692,Padre,25400378
843183266,Padre,87863517
685823471,Padre,46617057
722017389,Padre,94976462
354571143,Hijo,32474955
644343854,Hija,72039142
165421619,Hija,41790352
339887118,Hijo,49432600
480710888,Madre,78670556
121506167,Hijo,22063190
86705191,Conyuge,8362336
386495322,Hija,48707402
544962913,Hija,49029268
768036529,Conyuge,6156253
175313001,Hija,96437789
810076965,Conyuge,71641434
606963793,Hijo,2246832
308778040,Hijo,72530526
734279231,Hijo,36535567
169211900,Hijo,46281859
651312275,Conyuge,4339772
269718755,Hijo,31782303
478381713,Conyuge,43835653
140649155,Hija,93153030
894736709,Madre,88371189
353164178,Hija,84988518
944178061,Hija,40678285
499668821,Conyuge,7290938
969961640,Padre,19915472
501019804,Madre,12634542
82818033,Hijo,34585066
633144430,Madre,73807128
527051338,Hijo,75856736
820276072,Conyuge,73683800
301076643,Madre,77023181
766198070,Hija,89479990
359153320,Conyuge,5226152
61022946,Hija,49842863
264677181,Hija,51302397
155908144,Hija,5636132
538940169,Conyuge,84675159
264112266,Madre,53985223
142028451,Hijo,9146748
137196247,Conyuge,70889653
728495503,Padre,74143397
894437082,Padre,50310079
17381497,Hija,41602428
772804912,Conyuge,80510140
612889930,Hijo,96355681
994595345,Conyuge,90904825
106424523,Conyuge,41891746
826149188,Hija,28016646
30603466,Padre,81068116
191206942,Hija,51377530
240084473,Madre,60226410
404481240,Madre,21902796
838859045,Padre,91837109
851856857,Conyuge,22084085
305758400,Hijo,1676197
182582760,Conyuge,95564404
793561390,Hija,94976559
92614206,Hijo,87771464
910217093,Conyuge,84072318
16493260,Hijo,5980370
422209789,Madre,10499718
296961873,Hijo,74359682
866907229,Madre,89990799
239488734,Padre,9070942
774321502,Hija,17635759
517677237,Madre,49400991
25538609,Conyuge,45618187
894653415,Conyuge,4269790
893595949,Hija,41405568
987729323,Conyuge,60461592
811968979,Conyuge,93983936
947017568,Hija,29474495
597445951,Madre,72062485
210689396,Madre,79194457
787512025,Padre,57280595
549746323,Madre,76486070
247937330,Hija,85698794
163881403,Hijo,65297391
789866276,Madre,9378358
987455223,Hijo,18139380
45657801,Hijo,78885689
449511296,Hijo,60432440
699305457,Conyuge,26920589
205137311,Conyuge,67336538
383052487,Padre,3782039
449511296,Hija,25224854
631534564,Madre,81486216
336001233,Padre,15104780
852405385,Conyuge,2567662
527590269,Padre,67846976
690189657,Hija,31499940
707013938,Conyuge,93949894
66862768,Conyuge,65689036
101355732,Madre,24162207
404456951,Madre,59825016
153287743,Hijo,43135871
124064636,Conyuge,69830608
832044661,Hija,10628516
933630108,Madre,5582060
626464610,Conyuge,99193411
654256448,Hija,45567330
338560244,Conyuge,35950775
103803759,Madre,62029411
159639180,Madre,6738832
909334518,Hijo,32932496
873301085,Madre,75101161
868522813,Madre,79747364
318562887,Conyuge,47733810
162659647,Hija,36775524
212447331,Madre,12234785
206065155,Conyuge,17363253
484595933,Padre,30311926
737201505,Hijo,19801594
687082292,Hijo,67243898
847274184,Padre,38434105
243537629,Hija,4358502
443500240,Padre,61820839
40019501,Madre,86921687
698407288,Conyuge,63072945
53195104,Hijo,82633628
866260004,Conyuge,54851765
585633394,Padre,75565402
786118563,Hija,78721473
589308458,Conyuge,59030162
916196158,Madre,50354930
730154676,Madre,8147886
510945712,Hija,98222127
573695686,Hija,13921076
787025012,Padre,77616988
419481881,Hija,89800751
605687805,Hijo,17996449
215451758,Madre,30575403
430235537,Hijo,51490119
51627371,Padre,49807029
242578749,Hija,89393981
53489108,Conyuge,48314979
182269279,Conyuge,34872216
123522843,Madre,78424727
905649584,Hija,17565661
340477499,Hija,18544695
557889158,Padre,20620569
979181778,Hijo,73082020
397674182,Madre,30749500
469334423,Conyuge,68637688
975231389,Hija,54061055
860452705,Hijo,28859317
441788753,Padre,6936376
51882846,Madre,1513165
446042645,Hijo,59686057
531334726,Hijo,66859631
202637076,Hijo,43216029
14400311,Hijo,81612564
850241229,Padre,95271126
608175912,Hija,16884468
122406432,Padre,93343758
406837476,Madre,87578466
740843176,Hija,66468038
662018552,Hija,98274877
676015604,Madre,38407846
535773556,Hija,8734876
131756291,Madre,25512875
178397156,Hijo,90388612
976697677,Hija,48151704
357303728,Hijo,82663044
600702077,Padre,66518823
954652876,Conyuge,83713839
864461250,Conyuge,58286572
169943595,Madre,63923625
383427190,Madre,21896377
615910425,Hijo,47051906
353841080,Padre,58177921
637521103,Hija,51202315
909688594,Hijo,2665440
953114392,Hija,99669400
631558627,Hijo,73130262
475618430,Madre,91267001
983746217,Hija,24961504
218550090,Madre,74640500
757682179,Hijo,15127857
377884349,Conyuge,83417084
418556913,Hija,32188216
548675985,Madre,94196338
542658902,Hijo,60174755
522827441,Hija,17081260
541628098,Madre,2129657
600629892,Hijo,50647860
354410641,Conyuge,23488775
12670974,Hija,82882806
893221226,Madre,1753149
299826650,Hija,86414056
359842568,Padre,82300117
241546759,Conyuge,69204500
423556694,Hijo,72071078
365546138,Madre,33420233
81235004,Conyuge,2865357
172196175,Conyuge,30950229
578351563,Madre,66291689
282824493,Conyuge,24074277
246860990,Hijo,9070326
193357055,Hijo,31823573
508717867,Hijo,90513156
512351729,Hija,96715984
102082038,Hija,35206726
887355254,Hijo,60697111
913770515,Hijo,56463590
475824810,Conyuge,86376104
130423857,Hija,9520936
923436180,Conyuge,70935800
254619376,Madre,60450067
438261903,Padre,79185951
187910030,Madre,35826057
582041890,Padre,80208368
124275625,Madre,87410402
490709872,Hijo,51296918
825559627,Hijo,49818544
958605987,Hijo,62662523
900097683,Hija,88641423
853634980,Hijo,63546886
455784689,Padre,15652236
996732541,Conyuge,65657880
769877160,Padre,24483761
201755569,Hijo,27429197
732607072,Hijo,41273715
897837860,Hijo,3713580
489257905,Hijo,190510
961422273,Hija,20094038
974637567,Hija,63500188
141502049,Hija,88715905
639417412,Conyuge,76726477
200060658,Madre,19804543
357411338,Conyuge,87862557
384291216,Conyuge,37277929
995707859,Hija,23324775
805424060,Hijo,41637541
411266353,Hija,49717302
259051130,Hijo,65223719
700678548,Madre,73238937
424124162,Madre,25946470
428084871,Madre,66021254
610437908,Madre,68631243
284093343,Madre,98465104
811482935,Conyuge,48607613
731246806,Hija,45911478
678396724,Padre,29428225
238161876,Padre,70231272
474665670,Conyuge,2938131
708532222,Padre,60216535
591814134,Hijo,35393347
594295336,Conyuge,99187101
572548621,Hijo,27510840
415885955,Padre,39724754
62558823,Conyuge,73346483
420397534,Padre,972572
664106881,Padre,40001931
28445968,Hijo,77836792
752458407,Hija,22675894
65715836,Conyuge,49162453
303602392,Hija,44104322
550061928,Madre,20165783
583363752,Madre,63157542
115083352,Conyuge,85805047
512905879,Hijo,59055575
53029895,Hijo,77416830
259568235,Hijo,88701929
327654623,Padre,1208723
506395746,Padre,79094085
889710483,Hija,91904469
964532580,Conyuge,30046668
364484095,Madre,33814602
462483362,Conyuge,27709068
283039691,Padre,2191689
478198800,Hija,94041928
846945913,Madre,16493126
436050064,Conyuge,20546693
936504255,Hija,31714548
970438081,Conyuge,18142003
777988086,Hija,50443366
690875432,Madre,27551977
232656153,Hijo,99988736
