nro_seguro,nro_documento,porcentaje
8414235,391512255,22
7412628,566837924,17
8305543,379975730,38
5534486,695688393,20
6577705,165891066,58
2239297,595257722,67
3157046,843183266,86
3404765,767890113,73
3478064,126002927,52
6800200,572272157,79
6042495,306002208,29
843897,603430683,56
5582040,924708251,43
1216983,806017373,11
5115566,865411071,82
804684,180574700,19
9783973,912694836,88
8885752,120173535,94
6694548,774428271,70
8627130,396074962,90
658364,219960866,88
2444522,276577241,45
3658124,423684164,96
7578651,418679124,35
4701710,683010792,86
4746568,292335854,62
9527569,728661447,69
8252767,780389164,79
3667138,191909326,95
6903751,732464520,78
393717,560172777,60
3854216,859097810,80
9210537,468386003,63
6406323,513359944,90
3969001,377848537,58
7861011,573955856,100
886236,545474025,78
398768,850591954,23
5870476,204676318,55
7098511,26427291,29
7568872,897837860,100
1505384,386157002,4
8382199,709272478,13
7042316,588852087,31
627444,995412497,37
4199305,58273384,59
3241360,278448412,14
7993307,143002561,5
861569,690882923,11
7963194,246790804,21
2978545,493829174,49
7008057,99059207,45
7877168,894208651,35
2577675,850887860,56
1885471,828754273,25
9799501,700661561,80
8832782,556669248,57
2444003,960393783,71
267992,937123297,96
1439167,557826959,4
2638478,545415838,87
931737,117171168,45
6845330,975311744,37
9223479,632447037,41
2341988,664226548,63
4456062,666136975,21
9657244,229476352,72
8600944,324827169,46
8868702,577477418,18
627444,35043415,7
1610464,296601603,7
1050459,672969366,39
4746236,333505359,63
326436,480092241,49
5650546,956341799,37
2938511,116571361,80
2089752,132925009,47
393717,544706872,28
1640165,244941709,49
5742350,810451590,10
8478921,779447657,17
6571869,677914955,25
4892348,273432076,22
4993156,745815751,38
3622686,739271685,89
7403209,854898810,42
7095456,337554742,14
7726930,550335375,42
5161610,697038421,48
5940074,543739576,20
4910682,62530663,27
7138814,512772846,65
1610305,61975126,64
1225962,827029577,34
2422772,400590248,20
1615241,885579479,27
5507786,801061049,11
6118770,309463823,76
4960487,785665098,13
1698308,922625469,58
7439699,196169380,99
4296082,746788708,72
1181300,882360558,4
4012180,750038194,28
2075290,65253474,9
4490405,239253372,32
8242436,133152133,75
7062001,938588342,20
890883,120154260,45
9352253,286289248,86
7440574,132358331,87
2843550,332447672,30
2837918,921230778,44
7354450,974437129,79
6545792,596786830,95
8596994,945875994,46
7631587,384685555,47
4944051,987132208,82
3535652,661829554,42
2263881,437305179,27
9448874,442480116,23
4424649,228603989,75
9607215,947775640,84
1898553,143189090,60
9444741,820462794,27
5158169,241259100,86
436306,566777813,3
8003365,92524450,44
8621042,645865284,17
252382,28027121,2
5505199,663844537,15
3682652,298339256,16
6089123,242182608,49
7177168,745421701,58
6709183,720994368,71
312431,943107619,33
8625470,302321896,22
2698290,146335463,64
2673168,538361773,73
2207915,454357392,90
2653507,440692471,29
374671,541628098,85
9100989,55678125,2
1056776,69359089,6
6743064,711295762,33
7073379,961443460,3
5177589,767977433,75
4243238,793561390,100
293422,830655839,99
9299286,923150476,50
7619852,991803327,38
6495420,819724935,59
931260,960484501,79
7098056,880615438,84
897589,747885589,78
3748640,254501074,57
6665652,695959854,80
5216757,857848587,14
5961457,564477195,14
4753671,538787313,36
419022,659781371,60
4930362,793955135,75
4709934,623579966,50
7536702,753506769,74
9918173,557507449,62
8620357,577947477,14
6048890,928610344,39
9535372,710093301,22
6369799,604298572,54
8504639,88479110,52
3473677,465871448,49
8159680,653202855,86
6327790,619057760,67
5469638,824534782,96
3446089,839506889,51
1958878,64180609,16
7881855,171746580,89
9824204,10468415,63
2735486,318143767,30
6745415,962558166,14
7954172,869182920,90
715123,23204628,78
6838048,292301482,37
621628,321446346,99
4461604,937366696,41
8913739,712368996,7
1749863,94847069,80
106306,400548242,15
8478921,27293754,5
6507980,302167138,27
6828972,916554483,56
4560005,427749192,21
1292917,68413974,54
2886105,649719220,49
7363699,194110270,32
1850591,483597992,27
3994422,592215376,81
9280417,710829894,98
4821347,763734826,21
9455361,203602775,1
7542761,88121577,80
8121354,993943009,42
8417567,924551425,59
9998517,754116357,55
6607160,228540784,96
5058758,296961873,49
9031293,53130073,50
1649262,268536559,76
4008870,970530826,87
2507225,663644769,27
6457115,541907906,65
1999482,321955496,93
8763560,314678699,38
1056725,306002208,11
8030189,966073740,51
1650871,89600694,14
5958992,25280898,7
3940992,103351907,16
7899012,224507401,28
2906771,407794579,54
6506374,772488916,61
6369799,716117535,65
3649792,530341199,49
8821418,786126845,26
8360485,614800775,73
5904096,872303642,52
5134774,112381066,89
8843451,786118563,91
2687659,297599274,7
8808425,245814026,52
2035027,86845463,59
5246059,44693143,52
7330889,248312583,4
2109588,531211451,77
7475064,973461691,73
6558733,347199051,89
7012119,399096544,92
1753850,653941141,21
879708,946489693,19
7336280,386779624,29
6337197,244310663,51
7269197,210670376,46
3779803,794844228,28
7142088,660467975,66
8573512,250931553,3
906078,863742466,17
9021339,50461967,87
2656048,510382848,52
5171495,338742649,45
9313335,198176385,27
3775700,942934019,97
1734503,394583901,92
2040508,578193239,62
4904108,168926705,47
447733,702163490,87
1588885,186404672,21
3927194,467741322,67
3341689,819396802,89
3608381,986739577,64
7607028,164885277,32
5766825,49576527,1
3322848,171156104,44
9031590,357078666,41
7292772,947174031,50
2295280,199724132,15
2997458,750651105,44
6193929,659467883,89
3723761,341883144,30
8566698,469327166,32
9250031,89821460,10
1066575,735955902,47
2291355,356781049,6
577195,951408841,16
5856412,14708863,50
375016,332102346,71
7561461,816406636,17
1447395,664231635,2
4616988,877451286,64
5981547,294263369,16
394192,121967769,65
5432726,419321783,51
2094457,320117941,83
7776282,737628411,58
4548330,148758926,20
2460610,563455154,99
7172321,476274892,92
4437366,125118311,70
3753970,831600598,68
9204149,154372008,85
5344654,139479100,3
621855,484576576,26
8511133,36768274,13
799323,661175138,56
9591474,167979972,73
8647957,527498104,39
5026221,933650141,69
9703353,132358331,11
5508217,93088390,59
8829996,443379510,64
8792745,989352307,41
9635659,750423916,78
3943713,549746323,76
9227058,255025291,46
5545465,437519494,37
4643658,842852149,94
4969293,695751374,13
3938941,932794165,1
8401719,97429264,56
5156349,910238262,78
7278468,23457483,46
7714419,767465257,33
1660600,549293929,98
9238414,992985791,21
5339856,944735603,8
394940,82275526,26
7315691,530418203,25
7607219,25934693,84
621329,856457392,58
1467834,198046627,7
4670479,116388483,91
9997548,965060362,3
6996712,438882761,39
629166,171176342,74
2665228,673407570,25
3022811,786198587,11
442174,255678682,4
5256228,166823839,72
1796096,84633602,75
2865694,930271054,55
2496275,857281890,3
7411547,182425479,14
5425580,618016127,3
2356497,421505257,83
7015142,500514204,11
3888710,381116259,24
7935706,546123913,29
8760421,940002371,60
7980765,187165310,60
6063021,671965510,53
6716794,735419877,8
138900,454203625,80
1293285,315713596,42
2528058,870228233,89
4571178,214943476,17
4503441,596532377,30
8373787,876121506,16
8131404,411567547,23
6351125,536903086,50
5729367,195316704,99
9961120,850185136,48
2261929,501591987,38
2541419,218271115,40
6850506,432720530,61
6757677,971808542,40
5765450,717284777,87
1916632,873495721,91
3319542,900713609,37
7213739,776948693,86
6843846,131649541,8
4432819,873103994,21
4252038,253835831,2
7159090,834410429,48
1897401,878886592,71
4798141,812611734,96
8448055,904410475,93
1881931,379704603,92
2691423,386514956,11
5532928,573566728,69
811501,607314261,61
6308801,812055638,17
4062767,975257489,65
646150,71052059,52
4892777,216440640,55
5928976,466902549,18
1208555,475186335,72
255094,816596674,8
3111392,348190272,6
604008,894811789,82
1784576,382333855,66
7970715,803906457,80
9392937,40568153,65
1869877,308049520,69
3725784,417019385,15
522592,367000718,9
2205435,474844490,74
7569929,78473418,77
6322799,723051514,8
7268270,604882177,10
9071487,964105735,69
7188096,998709802,31
9229747,805106185,42
2936034,373544016,64
991411,435702181,18
2118083,380171005,88
367889,334946775,73
2227211,828754273,34
9102937,262799033,8
7232433,672076465,18
1362619,612775990,27
1001924,852951472,13
2939323,912443432,95
7705575,620325742,61
7040512,480125143,81
1173297,193626913,43
7996802,924440575,97
1711170,265678817,53
9378612,681497428,4
2419106,357819364,98
1884881,300450792,31
7630651,989116035,28
6160460,229049794,67
1015992,881388659,54
6724871,487023880,3
5712811,177517570,56
760391,855394086,4
5699129,534818831,89
7054443,81070420,77
8599787,663406439,53
3567823,799638976,35
5407275,869028305,39
7917845,217724453,23
9641024,614792534,10
1981275,974079783,45
3362325,425242266,28
6146543,501451915,96
5002907,153754189,16
1219058,580257929,61
5811287,259094656,61
3336650,856463244,36
5269753,323378589,27
4687455,777589331,80
3261466,62428607,49
1870146,225094448,55
885661,387635194,22
6296977,202793021,67
3921040,728613248,34
5854244,193392857,50
5391533,911666412,19
7461661,650989358,85
8328133,106969551,95
185317,511430716,37
1358545,807040775,45
6251585,702380201,24
7885934,20587432,63
6408387,963052859,85
1557950,941455711,46
1878652,782502708,45
626565,232832270,24
8303434,493453175,81
9894701,664782736,87
4374752,868126910,50
1656698,726551482,46
1955455,697786587,41
7652362,101411549,42
1707592,778530941,72
532178,103393631,48
4355726,863927841,6
2298421,637042089,10
6627072,840040533,88
4409157,204784937,53
4013969,353554194,74
1531492,59835285,18
5560251,726825653,15
8163953,825295348,4
8288593,87664720,5
3694966,715641545,73
9357503,619742515,2
8975708,758485234,95
6096930,855977236,42
8210177,771735038,32
9355219,938888153,85
4881444,539201258,43
8600944,828422570,46
4490330,95777689,9
790549,72844836,27
2319408,914783449,73
6072789,156511156,49
7869576,13454296,96
8132324,412197037,69
2203824,701489067,28
3629858,629198519,23
795229,342281811,93
6234900,19801607,53
1804921,759477035,89
8057632,32413117,38
2798954,190920886,5
4935483,260990349,45
3686255,524508779,22
9049697,351505145,67
9894701,713302852,86
5822348,72116283,14
1533268,256500772,83
2102188,416099841,21
2740411,54241360,49
5980145,177684053,2
795229,605242449,14
3903702,971332921,59
9758495,421640931,98
9083627,802514393,3
3481840,283432181,3
3244553,182241576,9
1943881,312305132,91
3918497,747414125,93
2172811,507938346,41
394759,643956943,47
2231621,702490609,88
1106264,809930828,52
2086511,874255669,21
8516373,25409239,89
6265813,226273396,100
8863453,101164612,90
5907549,387179556,27
8974531,85593603,47
6720294,392804705,54
2640579,148318401,52
2515901,351346502,69
1844442,567653565,75
5311208,143352090,80
6911322,642248497,53
298852,559833738,40
9836817,515983845,51
1610464,804708553,2
9969746,875835389,32
3926935,974222193,47
9364442,375921030,7
5414925,202033109,32
4431150,909142094,20
5855935,371824346,27
7599419,552367826,63
4407235,77759904,68
2166504,470143556,97
9288892,186966035,95
5456245,970217214,90
9455361,967516359,55
5485497,31374716,76
9766261,675305609,32
5196746,286133102,83
7197540,62970817,8
1103472,70842594,60
8174087,767946417,82
7454346,304131047,18
2296253,549976661,52
4976622,35105869,28
3527595,646757652,30
2257172,541224610,61
6430656,637735043,46
9945918,211428165,84
3850187,983831215,82
9796252,719736713,45
3779551,641574628,60
136412,880320638,46
5928976,920756896,87
9685949,838197461,83
9309362,939354293,32
7834377,260462255,89
4405508,395022485,61
9419977,171193895,49
1917793,164002041,90
3606865,344469395,16
8321514,373115654,15
4378471,245289779,1
2462442,678920805,14
7667776,702779484,94
3878510,165421619,17
8782873,211125121,51
3859865,326868392,2
2443014,292333560,93
2745681,952474624,6
3267120,405056062,8
4889624,410960212,23
2768312,505105008,14
2347738,421994196,92
2953638,195584589,11
7182392,934700989,39
7315168,380265083,97
1046373,840150502,40
1428447,838393253,26
4664562,658064685,12
2311289,528902398,41
6725529,622784486,66
8417407,334300074,34
4063114,221878825,43
5171211,666557997,69
8482991,268446583,38
41626,762357390,13
3127597,344315012,43
6760684,119419878,83
4925260,371764169,2
8763560,66023380,43
8211106,807367869,79
2612166,52608349,4
7423155,963815441,8
7174419,878871428,83
1552056,355652821,31
1707780,828307991,39
2482374,188209902,41
753907,503255090,44
1414442,290342618,34
9286232,810373712,2
8049025,229953611,86
7653869,200869035,66
5025490,425037138,1
5046591,568139368,82
2714819,581213479,7
3470152,125815840,45
672081,197857003,65
2311289,351281902,69
4277759,147812551,62
6814850,636678613,48
5293812,668550531,36
973484,674260210,84
9398208,799940205,48
7570590,199724132,28
7474407,124920957,4
6711714,241676302,57
5946408,170409232,10
5017508,850591954,51
7860656,334805396,53
6927090,614637539,57
178245,210299184,19
9126472,919461058,11
9894701,808807589,99
8654726,164988613,9
6815274,202998577,91
9426896,700661561,4
5116942,277634435,76
1426138,913337019,86
3703560,489773788,58
6779255,441240089,33
368873,716808566,33
408252,988940778,62
1108715,87447134,62
274798,598952160,18
9168821,658482301,22
1649215,237897956,53
9360921,991108703,60
2187935,951670103,67
8116556,736417213,94
3678476,288522970,56
207913,515653440,41
5211488,334946775,51
6844041,186353758,48
6456172,962247286,57
4655472,69895682,74
8037536,341594303,18
5507786,915686535,42
1206375,148723660,37
5453342,41083002,8
3736794,572098855,89
9273148,27124180,80
1711446,692081653,99
6508431,20693054,4
7448111,342328660,28
5206900,186243906,15
3114938,113186477,70
4301475,872040830,17
9293595,909275730,43
7612717,587543769,96
2544314,713289608,32
5365153,664503274,24
3743364,46044945,53
3820760,684116355,12
3168682,297381175,80
5614305,834971799,12
2815177,446192874,84
3553912,443588529,74
5593973,161323015,4
2840070,530321007,61
5188612,155979782,31
2618243,504320329,67
6791535,874030113,100
9851568,303557618,41
3990329,201605296,71
1363721,267802887,36
9229747,65366669,20
427733,393743841,20
4146981,708807626,99
7558610,111413620,61
9899005,92524450,46
81514,349223810,9
2216514,557383834,58
1283049,921844188,48
5649328,147662407,9
6353135,942485277,9
7336280,549478161,79
8852460,994968127,42
5674724,632228409,40
4366738,96158441,96
4274509,920480609,98
7226966,870284176,77
7346083,14978042,35
8666136,767518064,3
7203928,151694848,91
6570876,610506370,19
6497089,167269907,19
1851179,870117067,1
9371291,601642806,72
8445786,69911906,80
423582,813293919,22
3693847,385206384,78
9273786,659697486,71
726356,246704878,51
9242033,632370475,23
7054443,531222438,15
5120971,375563131,42
5853813,470753805,52
871147,196870259,54
5258489,14184973,7
7377636,778530941,59
6534522,196870259,31
8106052,509748242,10
8094328,449814327,9
2200582,311588926,79
2247357,914884188,12
4729211,933475330,20
3984695,66758558,84
8183782,965385220,41
6505622,903699775,88
3648125,139607429,97
7254780,285922095,76
7644322,888085523,79
4855590,928802039,24
5954204,251831573,3
5870224,25653969,31
7706476,210948367,78
6816626,209458993,15
4327515,851424470,100
4994123,320534310,31
4585671,267790575,87
7834377,195498083,52
1621864,792089860,11
7660376,887328118,46
174190,323378589,82
7070576,348151994,81
929438,858111312,3
7252193,498100942,14
6361482,213311797,89
5364622,211229138,89
1706381,204237212,26
8845226,335399722,22
1089119,345016566,28
9475336,98741607,45
8096196,576549167,38
7090007,734866966,6
9286232,828274098,62
2647752,701761608,36
5435708,299733777,27
7469987,288371741,58
1439167,264318749,81
2290891,646975143,75
645867,522726105,13
7752543,807014253,74
7922182,433141370,72
3436846,596462586,97
4935033,690875432,77
8652475,782502708,51
4494341,947740872,84
1853015,996801199,7
8659056,896118897,84
6835690,922585126,57
5281134,275496372,64
9910125,742367881,30
3519104,317988727,5
8852460,54997876,26
7939736,889017969,58
6703423,632649650,25
5926369,319081525,91
6667785,919568784,39
4771737,132925009,71
7584596,352406420,49
4991706,408663952,81
2634325,364697405,32
1463239,703737195,23
2175295,861535410,21
5726654,517163570,77
9754225,51067031,9
6786749,253868171,47
3399764,602813322,87
7008508,416572921,89
9034555,651081886,8
7697284,14483259,65
7375510,345404365,79
3466009,71635094,23
9966802,708959789,83
8178440,82303149,94
398916,325291947,64
2224103,341253996,75
4085440,40349965,22
8387514,916345793,90
2782495,42437784,67
6088498,499776886,64
1528408,472472977,25
7480136,28702274,32
8435842,54724301,84
3223633,987048319,10
2686552,848655907,66
517919,713081323,59
3876577,381464388,94
6567381,336583577,31
8478513,739716926,22
9669560,836580427,45
8690936,240594153,33
9447343,873450053,40
1923348,673827553,44
4539126,438288861,4
6210360,809275799,47
5079992,873301085,57
6549118,485509532,74
9635560,490584892,93
247265,515983603,46
2942263,223389569,12
1271460,480460271,51
2543317,483184129,87
1236531,598357159,62
1546317,122133173,34
8587790,101816305,67
3516657,847650006,3
7563324,274879309,36
1526123,128355943,27
4987333,555560897,31
8437041,937898121,7
5047540,624297314,76
2091188,637566733,32
593191,86628845,18
3147205,698182194,90
9147494,442614043,86
4753671,745381041,76
4797699,397112973,93
1941429,363651726,96
1154618,995797628,78
8417567,30931757,63
6177020,699167017,45
4990839,391760733,46
545447,960591863,99
5550735,485817906,98
2784078,317443110,32
9308325,494320429,43
9888157,461244545,83
2390486,813476957,31
7829156,211825144,41
4781769,379704603,31
938180,325967189,99
7576375,807330109,1
5867418,96426864,77
847311,792724413,84
5781834,144201293,88
1800984,344375403,13
3025187,522193612,29
9383102,490374050,45
81514,324542428,100
393511,953882965,58
1021812,450210584,17
2518121,282279977,74
3124216,519303059,23
5179269,84492226,100
8520045,694445035,71
6698072,191607990,32
6613775,451557463,9
4629021,668340175,98
5277685,272174710,19
965485,663844537,90
3693847,810264311,1
353857,232332498,36
5226023,694615743,82
6991624,718715183,25
798727,886566669,75
2400234,936884061,47
3754906,739210436,37
6727754,371764169,5
8341761,108899034,60
4629993,762470779,10
8234189,603064416,91
8031767,541990872,79
9734959,312899072,96
7636807,159639180,26
9811409,749638048,59
3068746,767518064,99
2671324,712125311,85
5341494,849708517,65
4913373,959256629,32
6135342,182229164,84
3552893,687443081,32
6251585,456579442,78
5113400,289536128,61
8281977,966081252,64
9382866,391970070,78
2947068,880097549,31
2590117,241544914,73
425668,142292385,74
2706339,676301681,24
766308,886694817,9
8083706,49549024,18
8568325,508337709,16
2126128,978202376,100
636789,372427662,4
3997656,973929792,23
1701174,406689203,31
5533903,28447774,61
6214756,567880011,84
3708193,506775661,24
6765666,906735139,41
6955953,823663894,13
7722122,835160695,13
372376,353325533,41
365035,818781862,18
8405777,954690490,11
1563783,721495585,30
6510678,678494358,64
3268258,931372208,14
2796402,349041545,51
6134448,451251062,2
4215602,145220994,53
2270947,695951212,48
8870146,454278905,41
7189193,472646404,83
7473984,352826910,14
4727384,325095400,52
4558462,628377175,12
1326197,28809474,86
3103937,189711682,19
7868684,769016591,89
1279917,823864374,26
4990427,900188320,24
8852145,637998038,63
308503,449654471,92
9312559,130862457,29
5703888,464115208,28
1272284,417788125,46
7226448,39499869,43
7488467,164225428,86
5648388,744784351,17
7294313,851499360,41
2287405,113833176,80
7854599,205395810,67
2174,227455181,95
2931043,549976661,70
3442845,858299028,34
1399615,39499869,29
4139741,592215376,63
2102188,543739576,4
1843449,551639874,40
4643658,512840132,13
9107072,253128002,90
1071730,788340802,91
5152735,253835831,4
9478667,498238559,72
3494856,823259650,86
77319,949576257,34
9351555,964647210,35
8329821,361774049,69
595894,62023055,5
5411811,34663673,9
6172097,448012196,10
3929578,349041545,97
1867589,813513599,47
6686403,781912986,43
6526161,227296221,95
2233489,934626576,4
3871607,410960212,18
5706032,19302016,89
5798140,262925520,66
825142,155769735,8
2440860,864345548,4
8400835,163614137,34
1125470,66489878,22
359989,116897112,55
3779551,671934831,52
9121151,323378589,44
5348173,441584869,29
2375925,314036984,99
4786121,711770391,68
9432426,158509755,44
1650772,804225963,53
4208842,535719356,20
9872292,265514940,83
2845088,456505148,76
1926010,27774467,75
4145420,16134090,65
8768290,903699775,57
9674701,814995384,80
9342076,828839813,73
1870204,550004311,56
1803007,287881499,59
4106962,367324254,45
4085440,247937330,86
4494341,536961556,24
6952494,671800145,100
6711345,767013534,53
7119554,413781149,96
5439667,896750989,80
2135897,649227416,19
7045528,983503293,89
4113385,244078313,1
7688816,918146780,83
5887036,335234396,15
4461759,727181713,44
5001212,698801742,6
5112620,394061494,7
4700314,497599455,30
8608494,622964045,40
3528844,758707779,3
8530088,553808403,32
7715888,191324705,42
6808057,389938254,80
2533288,997809460,74
99769,967626379,12
5264203,829092047,87
1483699,447091722,6
2401485,147785532,38
4069652,730270150,48
2997458,84234441,31
9008200,436497587,88
9133178,83496988,63
5966489,590415271,73
7346083,854969884,63
1098599,772239036,8
5128368,658568265,38
5834153,272254645,66
3272531,57810727,4
710632,148125744,86
8051371,111770052,63
6866110,10563036,52
3641339,240258789,69
560570,37596874,9
4502764,284337858,42
1761127,257107638,71
2954602,652492319,78
5308140,780892067,46
6434626,896329199,72
3857107,986424887,20
1341868,337554742,86
3842917,948416255,27
2770674,167620120,31
6907728,579797155,23
3766022,906942433,99
7566338,176703768,90
8368742,699848984,48
861569,519139702,78
6048890,664126214,77
8444162,816644007,18
2732832,308391027,77
