nro_seguro,nombre_aseguradora,cod_compania,tipo,Legajo,CUIT
7868265,Schaefer-Martin,7732258,keep,14054773,9255691383586
692409,Jacobs-Thompson,3390681,up,42442064,6546365949708
1675343,Padilla LLC,5977362,fund,42019172,1014949559154
4190301,Brown-Petty,2306816,word,47984291,3552217127041
4524969,Stanley-Moran,8346537,add,15808274,5811199568840
7331450,"Christian, Rangel and Olsen",7080202,measure,61335689,4936322820901
8307546,Johnson-Alexander,1535132,reality,3987225,5342901624287
3250406,"Johnson, Weaver and Allen",925976,body,57404027,6136211930636
6137632,Lucero Group,7958613,member,90388612,8604053381533
6749633,Smith-Duncan,4573998,long,50153754,7330220507035
2530020,"Norris, Rangel and Carter",6801803,employee,7152211,7011368653341
2733327,Smith-Dickson,9408529,company,76909735,4388723423114
5291298,Stanley LLC,4449042,standard,68941295,8099513552023
4637539,"Richards, Miller and Klein",5145032,provide,96805752,3925959055214
5720214,"Torres, Lynch and Phelps",2199927,their,90930406,6635917244869
7841144,"Fuentes, Pena and Lynch",573557,report,20605087,982375521804
7728409,"Harrell, Raymond and Woodward",1262859,rest,94489785,2182994901600
9777482,"Reynolds, Zimmerman and Farley",821718,throughout,67962214,6044923986235
4945489,Coleman-Green,9140493,simple,25707804,4505584678176
164564,Hood Ltd,2925788,tonight,37923922,2930303919005
7974848,Brooks PLC,7703890,military,61844052,6325132766700
8827182,Harris and Sons,2383229,we,75492655,1195242962273
8935914,Clarke Ltd,9995687,shake,7046003,1069706632989
3031842,"Keith, Brown and Chase",4311979,prepare,60944859,1976281382766
2060512,"Lewis, Jacobs and Dixon",9712649,describe,44386921,1351753194524
2770674,"Davis, Klein and Booth",5452516,ready,83500016,2811231761146
2052618,Jones-Walters,9544035,who,67294748,8985684845473
1001934,Marquez Group,2484646,threat,35305665,97348105833
7962239,Burton Inc,9599183,enter,37478202,4187369929011
1650871,"Gardner, Baker and Smith",8360170,window,79705494,9975563096632
9359182,Lambert-Lee,4836504,answer,49254801,9453975935095
6407710,Bender-Martinez,817230,probably,59518366,9787039077666
775013,Taylor-Jenkins,4935129,fly,78419705,5554992429825
7284494,"Stewart, Wells and Barnett",2573570,baby,80557292,5370877538899
4723039,Cohen and Sons,7766536,others,38147267,8132571515565
2604225,Rojas LLC,7000142,the,94731611,4198883169224
6362053,Young PLC,6591737,land,51412278,9006647680031
233469,Hoffman-Simmons,3810838,authority,71722202,2029296822900
9680434,"Miller, Houston and Schroeder",7517652,some,15211607,8302389159749
5017180,Keller-Hernandez,7617991,think,11173890,7220309507570
8275760,"Schneider, Holt and Paul",6768063,somebody,12250109,7428017954400
3145487,Anderson-Fuller,147710,alone,13582908,3365809696310
3446089,Ryan Group,3073113,since,60788238,5668083593287
2469929,Wilson Ltd,7105313,get,53266584,6811397857132
337536,Richardson Group,8149014,peace,70672668,5653530337046
1527969,"Miller, Duarte and Jackson",7518025,wait,1902349,3400427249548
1753850,Ray Group,6523007,commercial,60263109,6736288801955
5110431,"Adams, Schmidt and Wells",8659743,later,38217371,3093720904410
8625470,Rangel-Yang,1346343,chair,88784475,4445434477244
9089327,Bennett-Harris,2318204,while,20041392,5520721952047
2509670,Randall-Vaughan,4103079,even,77973724,1997705214837
4109429,"Carpenter, Krueger and Hill",1810103,movie,79058329,9311408337248
8359495,Ortiz-Kelly,2555793,environment,67476365,6913866310931
8110860,Long Inc,7798227,majority,71733762,4270750905106
6712272,Jackson Group,1271410,type,29588801,2983312506598
8030759,"Burns, Copeland and Simon",1496287,seven,33469169,9374019530737
1128437,Jones LLC,5249764,reason,43254410,2091138004327
8122937,"Waller, Lee and Buchanan",2158197,operation,27006827,9909623957289
5676028,Carter LLC,1111719,far,25686599,3814152805318
8093187,Brewer and Sons,2419488,party,61474024,9410741082923
604148,Herrera-Tran,788069,work,54396054,8104552108939
7240889,Medina-Briggs,5634957,science,10056140,2804162630156
5534127,"Morales, Miller and Miller",2362505,hear,14446560,895504779353
3995017,Peterson Ltd,7116699,rich,12298393,910362758256
8898124,Brown Inc,9449703,senior,21952190,4903831079047
8380214,Roy Ltd,7542112,town,96022668,7493393923628
5247005,"Hurst, Cortez and Jacobson",6479986,account,7667696,5901467512999
4501196,"Dominguez, Calhoun and Hart",1766259,beautiful,39698835,1359183364566
3623076,Castro and Sons,3516245,here,90048030,4135191876969
4269132,Morris Ltd,1437126,beautiful,98642246,7611871311162
8808498,Young Inc,8867251,book,20321010,8166685689904
8096196,Wilson-Solomon,628495,price,15396822,674934848083
1034978,Brown-Ellis,1225225,plant,7507223,5448139706275
2723380,Turner Group,4885356,available,911548,9754002923088
7546548,Peterson-Gomez,5694585,throughout,33933077,3255874017685
60322,Singh Ltd,899904,either,22678550,6914702506077
2580455,Pope-Gray,4008191,development,1329098,9328081006721
873965,Murphy Inc,1019087,gas,3836423,7888705894257
1897696,Barnett-Contreras,6801173,reach,16856310,8417098405838
5939270,Simmons-Thompson,1980874,business,10912310,3479359526934
4060893,"Walker, Blankenship and Williams",6181336,protect,55024800,2057490353130
3532181,"Proctor, Sanchez and Morris",9686536,well,85165842,201546542321
5947145,Caldwell-Fisher,5460192,actually,41872304,7183235326853
8853364,Hernandez-Fields,6519000,modern,84405107,9116747549284
5365458,"Lopez, Owen and Jones",4789909,race,23302810,2789583369855
1084191,Anderson-Moore,5899119,word,18728516,9939720348188
4879067,House PLC,9644744,position,37994137,7344683755161
9656022,"Hardy, Young and Dougherty",2027949,probably,7488870,1781117822459
3863047,Knight-Price,8763667,wear,78943709,7270350197037
2977142,Hall LLC,425445,key,14743177,1830090631786
2901669,Dean-Lopez,1849221,clearly,89885871,2107169705502
2450949,"Vaughan, Rivera and Vasquez",1756156,four,75008752,4171599871920
2933366,Stout Inc,5047744,police,86075632,5912303470871
411090,Lynn-Yates,189483,next,84104709,8184703368401
178245,Miller PLC,9524539,black,70563621,5507613531728
1763045,Maxwell Ltd,6615125,senior,97132932,3138862409462
3246794,Jensen-Medina,6450698,box,97130301,2034592680618
4010428,Boone and Sons,8854870,everybody,22057742,3626507408865
9200973,"Wright, Navarro and Johnson",4885371,run,45178674,7505658854248
5779305,"Parker, Williams and Rodriguez",2100824,why,75883955,8077371348133
8346946,"Reyes, Flores and Wilson",2877986,live,2803183,8587396780570
5506167,"Russo, Clark and Clark",9321386,top,74922831,285207512614
7825083,Russo PLC,3430342,cost,43638358,8930353039105
6225220,Scott Group,1130410,near,4957783,1959487869622
8685539,Turner-Clayton,2548213,how,55257682,4397887466794
2469619,Horn-Frazier,6854075,production,10787043,7671405999191
6274182,Strong-Woodward,3601592,air,52980033,5136955057938
252505,"Martin, Day and Hall",304492,authority,24671359,864738464081
1464191,Stanley and Sons,3972914,list,26164135,2699396469425
8332519,Zuniga-Moore,8737432,place,32275399,1374464564103
6937711,"Barrera, Dean and Lewis",7207093,finish,26241164,9531108647888
4599661,Mejia Group,1393173,effort,54702376,7624760033177
3116715,Lowery-Washington,5907549,increase,92922537,7770572347205
5430942,Davis-Smith,4876679,early,59702484,289640815935
1916534,Bryant Ltd,7861714,bank,61384402,9197192789701
3813169,Lowe Ltd,1936829,line,4121914,1219838240209
7440410,Willis-Cole,4894688,me,65860493,2178049947170
4337681,Mcneil-Johnson,4413149,tonight,78637743,3652038514202
9243264,Murray and Sons,5146798,member,77536760,3836567956037
3138270,"Richardson, Burton and Wallace",673877,stand,61344028,7382463353898
2215924,"Jones, Gilbert and Lopez",5335275,often,80871626,5961777839447
1560551,Bender-Garner,1894315,office,48589925,7985271842045
5683718,Harper and Sons,8584199,federal,7426990,2993479993971
161321,"Young, Moss and Washington",1248407,travel,33401304,76322733245
9865016,Gonzalez-Nichols,2638643,challenge,28504195,1104932684283
6623927,Jones Inc,7546679,which,98467130,68354125806
5026461,Nelson-Yang,645415,strategy,37698537,8156531727331
6766470,Novak-Berger,5066914,himself,1022608,93329003842
2305213,Lane-Murphy,1328845,impact,56499380,1262519429259
5207273,Tyler-Maxwell,2304909,century,44964972,7669348167796
9013528,Whitehead Ltd,304718,until,23404710,5383828892910
5171211,Rodriguez-Cole,9475225,political,50548034,7627094938500
4337121,Scott Group,4077796,not,71020174,2746652072671
3505131,"Briggs, Hampton and Gonzalez",7259195,hope,33643183,7263955939276
7053448,West-Williams,1511819,where,35507695,4417544591063
1379616,"Pearson, Delgado and Price",2635431,through,11495170,3878736641888
5546743,"Cross, Small and Brown",7773124,card,40217155,1913267252025
9193067,King-Johnson,66898,but,71049006,7580832377344
632903,"Mcdonald, Johnson and Chavez",4561607,car,57201120,6702986893699
8487415,Holland Inc,9949560,person,55844433,5620446670482
5710893,"Lopez, Smith and Jones",1272454,boy,22808787,4829728103683
6842226,"Goodman, Lee and Molina",9065020,discussion,37896295,4211300374029
2846962,Jones and Sons,6918366,sense,99834431,9618372601150
2511355,Holt-Hunt,4974396,nothing,46544006,2272125975563
5313953,Fisher LLC,11754,paper,34239982,3887934769394
7623240,Myers-Calderon,2239447,enter,75940669,9337646894550
5028157,Harris and Sons,927416,serious,76741399,3721688043081
7601448,"Chandler, Williams and Taylor",7491516,expect,39601637,4627847641642
2150360,"Arnold, Chan and Sullivan",2645763,during,2844901,2392272134170
7590227,Wilcox Group,4226089,challenge,78325242,2726548568368
6150924,King Ltd,2603712,power,68946988,7320785706563
8148404,Dunn and Sons,284667,daughter,80939365,3072755935417
3349966,Anderson and Sons,3293214,government,73979746,5637473077059
8631802,King LLC,8373441,into,30625539,3823177601214
4534698,Waller-Johnson,2589510,baby,54601606,4340532752228
7325981,Lowe-Miller,2062425,scene,72467926,939668371840
3001349,Peterson Inc,2079710,society,79818984,5918256815862
7109408,Vaughn-Hughes,2965113,edge,3888294,793700680639
7848464,"Long, Reid and Gross",786496,go,16154109,9999177044142
8725706,"Coleman, Espinoza and Young",8223953,like,4900376,8845932907043
2754594,Baker-Wyatt,5473104,official,5548633,801725561200
9561621,Barrett-Johnson,45453,charge,47185391,7621501405764
5596701,Brown-Reed,5066917,budget,23298832,8517548479961
1121410,Gonzalez Inc,7087694,child,76854957,6191522706837
7073807,Walker Group,6770609,wind,18259571,6462559894757
3490140,"Jackson, Hernandez and Arnold",6182520,whole,33224603,7098813986397
2848326,"Hernandez, Perry and Mccoy",1275258,institution,96434576,6471945496664
5411939,Thomas Ltd,5165561,technology,32718673,3625061468218
8805529,Flowers-Barrett,9029233,box,71764058,3565334439524
7462305,Williams-Brooks,5589198,vote,36710003,9266618631828
3962208,Smith-Wolfe,5697705,institution,52250022,273395519717
9826553,Hale and Sons,935645,beat,72178122,2611266662964
6174651,"Flynn, Kramer and Nguyen",7528333,pattern,79633073,189037122357
6897826,Thomas and Sons,3873655,know,92922099,9037369441274
3512384,Silva and Sons,7435558,boy,72517470,4963341982728
4458717,"Johnson, Moreno and Smith",7860364,natural,96935952,3415578701541
981555,Lynch-Short,2142737,new,24282846,2930303919005
7375510,Collier-Garcia,4363866,thank,43863389,9518637533865
8009068,"Martinez, Smith and Moses",2343755,ago,20310697,5445481920784
8443052,Hill and Sons,7682334,natural,59088428,151541053897
4536379,Morris-Baker,7385039,next,56847803,102628768524
7346713,Carlson-Suarez,3255732,room,19721822,8382304494695
2374142,Gill Group,2266427,federal,56985567,5227259515123
4736277,"Bridges, Davis and Nunez",6526605,rise,48292794,9992388957857
8926362,Davis PLC,2302255,practice,36913810,4946417002246
2631343,Terry and Sons,5757389,responsibility,69747050,5942295083803
7946193,"Osborne, Mason and Nelson",1253667,article,46500376,899088129713
6426065,Anderson-Osborne,4971432,husband,98509567,8826807697732
5674724,"Fox, Gonzalez and Orozco",9204265,dream,67056519,3611189853951
2923816,Mills-Gates,1352078,carry,81929775,5099911082370
2129553,Page Ltd,5490561,environmental,89916322,2767798262420
4403179,Lindsey Ltd,2220559,appear,50943109,6807203602950
3033262,"Dean, Reed and Carr",2550993,partner,82794211,5476168943711
5305401,"Shaffer, Turner and Howard",1015127,those,84464274,5054385582065
4280839,"Nelson, Roy and Hall",7403862,eight,65184704,6182635192487
2080681,Morrison-Nguyen,1504152,head,53953042,3363902566539
7429946,"Rhodes, Bolton and Olson",7666744,image,7462213,7486512001933
3210113,"Morris, Prince and Salinas",6249692,term,80104267,2312232975368
530385,"Norris, Thomas and Castro",1234061,health,2573750,3707962600777
6157632,Wilson Group,869415,example,37968559,9631004477318
1413864,"Bennett, Caldwell and Arnold",1125799,law,24072473,3541790253133
610264,"Figueroa, Wilkinson and Randolph",8144531,customer,25663381,5149058742718
7958042,"Clark, Singleton and Coffey",918123,clearly,51032827,1754625736404
3181933,Marshall Inc,4210952,how,73419736,9156173549811
6474161,"Cervantes, Clark and Kennedy",7167466,during,84468066,1942529945215
3807863,"Roberts, Romero and Sharp",3860913,dog,70225023,258097604201
559852,"Howard, Phillips and Lopez",3939824,drug,59067686,8731406384131
7033429,Russell Inc,5746045,fly,53354702,8250153777274
9775390,Chavez PLC,6755600,by,73940275,8115247924169
4147166,"Galloway, Reyes and Alvarado",4181321,nothing,69196651,2033545831317
1764881,Garcia Group,8203140,wrong,9919001,7076086104791
672081,Bean-Gutierrez,2490429,between,86333428,8806830633519
8448509,Patterson Ltd,7367445,truth,82754773,9815368734067
6247391,Allen LLC,6686842,pattern,93458776,2208073272507
9447233,Ryan LLC,2713963,finally,23294148,1572439286658
1727852,"Cooper, Morgan and Stevenson",4555751,bring,78651100,3213124701131
9235654,Wilson-Moreno,1410607,free,88039373,2670804356187
5029096,Davis-Gonzalez,6967257,college,83197505,3777760291923
2395213,Brown Ltd,4694368,various,22470626,755591725564
3613645,"Wang, Collins and Payne",8278699,either,47178095,3066612712743
9430732,Clark-Powell,8584520,country,80847918,6916702537515
4610926,Moran-Gomez,4171434,economy,41638554,3760495788153
598409,Martinez Inc,5885074,follow,90056770,5978511412930
6784052,Moore Ltd,2223459,others,4982730,9671866028857
2458898,Garcia-Walker,8213240,western,40730950,4148603418284
8304471,Bailey-Brooks,7398638,type,95342782,5331331406348
7694714,Warren-Jones,6302936,where,15013295,1720498158219
5755667,"Collins, Romero and French",2585808,feeling,23842139,4198863296215
3643548,Snow-Anderson,5337270,director,82401486,6582951475226
8865869,"Berry, Miller and Smith",2180206,fund,89741486,8941528819439
5551964,"Taylor, Griffin and Yates",7743100,serve,89608775,904048167419
5734719,"Johnston, Yang and Campbell",9529352,official,82188895,8636974015217
147397,Alexander-Diaz,3167657,million,25980323,7026896076878
436306,Lynch LLC,7198010,worry,58203525,8678482531272
70444,Mccoy-Garcia,7426691,a,94377704,9554455608121
5531442,Long-Rios,7662132,left,23650318,2850412886626
378073,"Rodriguez, Johnson and Campbell",196048,research,52734580,6353025723428
2915240,Riley Group,7234288,finish,23974449,7227410221693
3593826,Villanueva PLC,3183966,choice,11051180,8373964917007
2779741,Smith-Rodriguez,9324170,hour,81868797,353657610172
9236376,Stevens-James,1121104,identify,67220497,6262311843864
809067,"Anderson, Baker and Thompson",6334470,try,35170671,1296503288602
6856517,Ross-Anderson,6998776,need,78332278,8468139544553
9308440,"Armstrong, Ochoa and Butler",7593768,rest,73218883,6098342485032
4424808,Howell Inc,3725970,environmental,74056809,2714133387880
6840646,"Thompson, Jennings and Shah",3810750,mouth,44680629,3803135150654
2956971,"Patrick, Lee and Small",4820553,now,98698875,812245696492
5404075,Jones-Alvarez,8538315,must,93107586,1577677762790
9014130,Palmer and Sons,8210362,you,87373992,1513795758073
1880399,Brown-Alvarez,8880649,million,42116113,6041219640353
6326636,Medina and Sons,7585751,call,94138709,630211258628
1632193,Odonnell-Jenkins,931904,exactly,87170572,5226655762365
8063601,Cervantes PLC,4623170,situation,88944412,8778539202894
4256566,Hernandez-Vaughn,670896,state,95241644,3851416106787
8798678,Lawrence-Jenkins,8219081,party,60000619,109664316239
8022533,Porter-Pope,9125011,marriage,93987322,3118373910605
6538257,Stewart-Wheeler,3588870,may,52017118,6435705468555
6556403,"Walters, Wagner and Gray",8557555,time,80569668,5979402548652
6405086,"Shields, Stewart and Taylor",2332683,church,35224367,7552783366187
3273535,Harmon PLC,3956235,blue,75879670,9505818147723
6342827,"Rios, Gross and Vasquez",9881007,whether,98742352,5690695057285
4787875,Hernandez-Morgan,9304849,management,93876840,6453819138835
8581304,"Morgan, May and Vega",9872852,what,34399724,5428994829325
3794979,"Frazier, Sims and Wade",5167134,purpose,80111198,4746528664806
9231286,Greene-Hess,5535051,former,55861946,791413463471
4696838,Mcdowell Ltd,7823511,necessary,87453266,7580708355536
3195732,Walker-Butler,9985257,born,92653147,9050373147216
3644574,Mckenzie-Coleman,5303179,turn,48322591,4487698045000
6413690,"Suarez, Liu and Miller",6225140,risk,69693848,200743540328
7485601,Castro and Sons,7268264,everyone,5605356,4536413068943
704016,Hodge and Sons,1996669,after,29601997,7772276023271
7511491,Bonilla-Parker,8293434,school,11572008,392837095459
2681929,"Cochran, Brown and Clark",6260370,suddenly,92858571,3154346616720
2838967,Frost-Rodriguez,5916152,student,54048845,3183154239995
4038877,Kelly Inc,3912267,southern,1856993,2142884359466
9506884,"Sawyer, Flynn and Green",8883339,join,12397333,6908157058375
9898742,King-Ross,9614342,year,22021329,9504955983423
9424704,Willis-Saunders,2012064,scene,99021978,6105116429496
759398,"Simpson, Moon and Fuller",6248721,focus,67593138,524611948934
5665052,Francis Inc,8612454,through,5604966,8859581216171
8532074,"Eaton, Wallace and Peterson",4023817,college,4068826,9909774564023
6269892,Williams-Shaw,4208077,use,72351802,4121022463359
3417367,Scott-Montes,7424908,old,82432860,6563485446547
8822614,"Rivera, Lawson and Hodge",5160168,ahead,51974865,911252185948
6464362,Bridges-Henderson,4059223,ever,16687043,2124185469070
954700,Young and Sons,9502488,dinner,70122431,6320848946605
9396317,Woods-Warren,6766372,scene,29057605,6542140645892
124908,Lopez-Meyer,2980362,age,54340225,2824572967643
457643,Cross Group,6196112,trouble,3687293,4671533047501
9245608,"Cochran, Chang and Cruz",5153441,allow,74879832,8639373141476
1019539,Phelps Ltd,5308776,certainly,74103963,3229241081827
9586875,Wright Inc,741242,minute,16147757,6202508794899
424375,Meyer-Bautista,4272963,throughout,26689561,9126808379609
9460003,Smith-Arnold,7602649,especially,5578274,500622416766
9249950,Davis Inc,1444965,we,8100716,4652424743582
4539933,"Brown, Diaz and Schneider",791868,notice,5092613,7405282293350
3524745,"Goodwin, Yoder and Miller",7689123,protect,5230263,5366602518378
4104198,"Foley, Logan and Williams",80687,base,86055672,3541790253133
5560451,"Glass, Taylor and Perry",6517630,need,89012862,3264761101381
8627362,"Marsh, Love and Brady",1663694,series,13482213,4426507631687
512779,Jensen-Rodriguez,2164909,writer,64712987,9620624753106
4180514,Campbell-Murphy,1369248,buy,47355171,5745805169859
7855860,Stokes-Roy,5660536,little,25381224,3923086688356
3050571,West-Gonzales,3793076,result,96094731,1304447979665
7369000,Acevedo-Barrett,8265923,husband,45912003,2001512479964
2315538,"Williams, Morris and Day",2514170,group,3301348,992053319105
2481347,Drake Group,4268136,open,34522625,5370877538899
8550529,Campbell Group,5333148,organization,7945145,2270519963123
8114312,"Mitchell, Chan and Thomas",8943678,others,14263894,8229063399239
314442,Roberts-Morris,9832816,tonight,15196549,692767932003
6770405,Haynes PLC,5470774,seat,94627846,1314798181054
5726654,Summers-Boyd,4754058,director,10540185,9642844425368
689993,Simmons-Wallace,5979710,however,88837178,1262461856186
737250,Davis-Horne,5316054,head,17818914,5282982766187
5447466,"Gordon, Evans and Sheppard",2059171,wind,26336024,9116747549284
5507793,Francis-Jones,7844128,ground,36932756,8322606672789
9050346,Ellis Ltd,8051722,claim,23624148,8814442485237
6405779,Johnson LLC,6592754,family,23020373,5174268823158
9899777,Delgado Ltd,265056,conference,91044483,5602469268396
6917256,"Lucas, Mercado and Pearson",5601074,play,21243626,8708172230771
5186685,"Carney, Walters and Hogan",2140381,citizen,62706808,7920149865295
5138882,Harvey Group,8659801,fund,99494429,1411821952855
9679842,Williams Ltd,8350161,perform,91440724,1934820395858
9568409,"Davis, Perez and Jenkins",7009937,official,28475341,5315039674313
911597,"Hopkins, Doyle and Martinez",5918593,ok,96566601,4395247524619
3253998,Kirby-Harmon,4013207,let,48017214,1169903254107
395521,Martinez-Murray,7501055,line,36002179,1279866253145
8569872,"Church, Vasquez and Ward",4857377,cut,66020003,517133958330
9457951,Choi LLC,9069466,develop,31655925,8961694938819
6250195,Peters-Huerta,3343812,light,74520098,5179420469689
241449,Price Ltd,2217814,cell,99972561,2304984502960
9344518,Webster Inc,7162326,approach,81346454,8720153738837
4287077,Reyes Group,2266857,single,87307708,4967748480914
9136930,Carey-Gamble,6072394,us,74242975,8434550419368
9415340,Flores Ltd,8155433,call,85154899,8518889899443
6157420,"Allen, Colon and Robinson",74433,strong,90958880,472398803001
6237128,Ewing-Fields,407027,guess,58328346,5297984491944
2230511,Patterson-Nichols,9847077,cause,65061718,5586894212895
1680665,Harper PLC,578482,benefit,84516974,8071220973755
6143764,Rodriguez Ltd,2886270,remember,16329692,4355547854033
5436069,"Miller, White and Garrison",2440343,this,60539888,9943889809472
5313686,Farrell-Holmes,1988283,bring,93844071,6720540722115
8950993,Gardner Inc,3852899,world,7494615,589615294663
7377686,Wallace-Davis,7370907,east,84548059,2036961071361
5996061,Hensley Group,3441817,pressure,78354268,403794034604
4515206,"Rollins, Davies and Brown",9518606,decision,57633069,7907622998007
7437175,Dominguez-Valencia,5698579,bank,99353540,300750175902
7435159,"Mitchell, Wilkerson and Mooney",9617774,also,16480378,7046848762996
8328398,"Jackson, Davis and Smith",5471827,benefit,75449828,6927387027649
7187853,Evans and Sons,5281639,then,29073433,1709051646951
5453437,"Ortiz, Erickson and Santana",7885636,our,67556840,4737554232968
1537401,Smith-Miller,5955541,doctor,19972339,8922540966142
3160841,"Howard, Chen and Murphy",71563,go,16942700,3471199615697
9945524,"Ochoa, Bates and Foster",4190604,not,96328059,3298214612279
4790002,Roberts-Barnett,4392468,within,92380034,8225140678728
7133574,Smith Group,4464392,fire,76221961,5361569260181
789364,"Brown, Moss and Garcia",1850697,rise,7740603,640606031174
948781,Castillo-Bell,8337787,he,25239941,718919033952
1166663,"Moody, Reyes and Bates",7489757,stop,7516271,1342333173553
5304854,"Taylor, Wallace and Brown",283453,effort,2019428,7791466147672
4105468,Cortez LLC,1756965,drop,83261948,6332753322582
1054404,Koch Ltd,5610644,show,96784117,3270419356422
3563904,"Sanchez, Thompson and Burke",4978813,whom,42314854,8931981342305
5660223,Larson Ltd,8904037,sign,99517575,1406957862027
3746753,"Decker, Ward and Lopez",1626228,hear,80335811,8781801025813
8367926,Fox LLC,686237,quickly,70128656,1690263288111
7869777,Knight-Larsen,7690483,continue,33236323,4986512781535
2573834,"Logan, Smith and Mata",9840088,ground,91960135,8200768757132
2796012,Rasmussen-Watts,8363772,specific,35125087,5946942355460
6490812,Nunez-Mcdowell,5982576,meet,87080474,6463280526531
7330889,"Carr, Haynes and King",6792707,politics,63890393,3385141612502
3869072,Ross-Saunders,6400001,miss,73363115,8908139609058
9001771,"Garrett, Jones and Watkins",9994164,maintain,73043537,3467210420355
1363721,Sandoval-Garcia,4465799,serve,48284311,5143922382388
3521460,Bailey-Alvarado,2881981,culture,47711848,3894012579352
1814632,Johnson-Gibson,4235746,very,63874149,1901904258633
6745918,Williams LLC,4744640,continue,76658067,8967373351809
4729825,Fields-Peterson,427165,simply,88202154,8441502155121
7397703,Russell Group,2006720,perhaps,93904927,2205429926589
7504222,"Lambert, Fernandez and Watson",2104711,chair,83680916,5344830884809
1933484,Murray-Allen,4894282,also,5005805,2139973190669
721433,Johnson-Forbes,4079588,effect,68560254,3486723393182
5275276,Smith PLC,3569467,past,74722658,8648180257233
7014015,Schmidt-Wheeler,8048109,fight,67749317,1867057250464
9348920,Thomas Ltd,8112204,experience,84694670,2455139198793
9801508,Thomas and Sons,8816655,product,50233295,9655570641427
5407275,"Chambers, Dixon and Palmer",4017847,they,33562324,1569955745429
8995737,Reed-Woods,8703586,box,2647382,6293499928077
5090996,Moore PLC,3270590,show,46382628,4185643974171
6081750,"Barr, Freeman and Parrish",7067421,fact,96998397,1213601963888
7981304,Mcclure LLC,9804495,spring,50663014,8280940811457
2332590,"Wells, Hernandez and Coleman",6801097,specific,92166904,3148153882468
1186588,Rosario-Cantu,8560081,social,90336943,9022968408863
9640900,Patterson LLC,3646396,four,73661319,5091277807960
656870,"Cuevas, Pennington and Ross",1240606,travel,41004346,4397676610491
1044514,"Johnson, Wiggins and Scott",6678756,live,98948719,5569926955245
7798529,Hutchinson PLC,3751510,thank,35084379,552427302388
8568325,"Blackburn, Cantrell and Gonzalez",9989711,expert,65492283,8292810679881
6517919,Lucas Ltd,898820,reduce,27813530,7659938436838
8058654,"Orr, Smith and Tucker",7062216,natural,74422,5095291700681
2660136,Smith-Walsh,7783619,manage,10191663,5482038425077
6669656,Andrade Ltd,7197683,never,25856635,6866325917349
7318836,"Thomas, Reynolds and Lloyd",8806350,company,22826530,9913533359834
5348676,Hanna and Sons,9372210,morning,81992756,7411276262846
9144370,Medina-Andrews,906591,high,96676856,2110989313919
6096421,Jennings-Andersen,8854963,raise,1388154,7027311561394
488723,Arnold-Bryan,3561624,candidate,91476599,3242965486014
5549346,Garcia-Lyons,5908156,act,60640821,9477834901347
