Nro_Obra,Nombre_obra,Plan,Legajo,CUIT
66490599,Wiggins and Sons,wait,55416001,6861182571854
39071302,Perez-Sanchez,loss,90985544,4216208370774
2819615,Gibson Group,fire,63190651,868465649489
38160006,Woodard-Parker,about,35465436,2864545508374
62725429,"Johnson, Herrera and Jackson",picture,41462409,9180979566292
70501495,"Jordan, Morris and Garcia",left,56985710,5576909436125
32269123,"Garcia, Walsh and Reeves",expert,19114705,1951394260083
89630061,"Allen, Hoover and Barker",institution,75310100,2930067755710
15459513,"Henderson, Robinson and Crawford",vote,9711268,7611871311162
92548002,"Holmes, Lopez and Tucker",street,49601344,3149223654147
11193486,Hudson-Russell,maybe,13275233,7464508394695
21708006,Vargas PLC,plan,38853207,6352582547025
67478224,Wood-Brown,receive,88272269,7925609346623
70808098,Lee Inc,role,35730340,4702800360604
81883618,"Gutierrez, Holder and Mcbride",key,77738857,551440646479
73613892,Miller-Wolf,tend,56633669,547238152783
92481326,"Shah, Robinson and Small",result,18629020,5804823601437
84758145,Smith-Gallegos,course,55083175,3980733092054
25088336,Nicholson Inc,military,34332614,7891778770602
91492066,Castaneda-Ward,bar,9868131,2931424229817
71526644,Kelly-Cardenas,physical,17899770,2110989313919
6081402,"Olson, Tate and Schwartz",notice,64313890,1001318061534
3352462,"Walker, Lee and Richard",among,74336782,4609096822810
61479259,"Wade, Brown and Allen",off,34714795,5054385582065
58323580,"Navarro, Smith and Hebert",road,42930949,7185253241888
11063194,Evans-Chavez,claim,78562314,5946942355460
9777981,Calhoun-Sanders,budget,98363753,8741342127447
82530386,Collins Group,well,1196706,2004458279737
90166454,"Adams, Tate and Hart",life,57756202,2263171434438
96086949,Zhang and Sons,training,57627207,7434474499176
37162195,Coleman PLC,maintain,52623520,2131961393024
89749358,Black-Porter,bar,7648825,5433529197483
90833252,Hanson PLC,wall,86693912,7568989878663
99346270,Gilbert Inc,himself,23623793,6643343537520
56208838,Ritter-Hartman,present,43254410,8973139322372
13663439,Parks Inc,full,88753205,4988132683728
3326408,"Harris, Dunn and Brooks",he,63597911,6527619975217
68293883,Moore-Hess,drive,18184114,3215199121978
53298753,Reynolds Inc,not,67262748,7844193114632
95948858,Clark-Thompson,best,37511868,1608684892070
702123,"Jackson, Chavez and Ramirez",high,46591723,5837119135983
42484499,"Mathis, Rivera and Jones",professional,22109456,5269083288759
22370367,"Meyers, Benson and Atkinson",road,50994816,4887879332008
57828578,Barnett Group,artist,30285030,2924324340302
31219976,"Howell, Shaw and Stewart",record,43511777,6856175651923
12580809,Lawrence-Hernandez,listen,57345519,8248678494155
3404389,Harris-Livingston,effort,95345730,1770270687711
52238224,Patrick-Green,evidence,79792905,5502221419999
18575145,Mosley-Garcia,ahead,79042616,943272863580
39239504,Brown Ltd,industry,89417414,7419239361851
42074242,Miranda-Ewing,at,66110040,2516736391425
92539317,Gonzalez Ltd,first,19998745,2506489093431
26960337,Garner and Sons,prevent,11974041,7111390223449
33873230,Rodriguez LLC,first,71952889,1351357922511
90731486,Patton Group,art,60874366,2711420272338
17211115,Manning LLC,act,62016666,2746005215791
28240384,Johnson-Newman,often,13979035,2377630312564
33540085,"Kim, Yates and Scott",bit,43177516,1187486041475
24073267,Chavez and Sons,particular,26964464,6305566644636
20632091,Wright-Turner,here,83609888,9839077814750
80845377,Kelly-Valencia,off,29796658,6916879449235
64515166,Lloyd-Nash,half,26089112,8176174900335
72535538,"Butler, Johnson and Miller",mention,30159969,8560062357443
37559337,James-Thomas,not,52207978,659059280296
80075110,"Davis, Chambers and Shaw",civil,29810396,6974747638968
70931722,Mejia PLC,same,20955328,3863523863370
11670440,"Duke, Cohen and Lopez",possible,75055790,5849351338082
71591800,Alvarado-Mcdonald,series,19422926,4724402395968
80101940,Flores LLC,food,18341979,5679990518929
24130258,Martinez-Bowman,catch,67854865,7488705075967
19787886,Wells-Lee,free,26180292,3317162366908
14408646,Gardner-Kim,when,13979035,1018410709435
49854309,Curtis-Hill,building,635815,5563786015830
19809914,Hunter-Fry,national,3545716,9769472583855
79528992,Anderson-Hampton,statement,71604583,4417704459347
78852245,"Jackson, Bruce and Calderon",skin,41797011,155118023375
69292737,"Hayes, Patton and Hill",amount,56149782,3593563527863
71668120,Graves-Turner,friend,37571024,9034075920183
30449822,Rodriguez Inc,some,11249897,4134087262863
56386850,Cruz-Young,I,33787894,5770094086519
31334155,Gillespie Group,moment,38378085,886688947125
39609871,"Benitez, Larson and Farmer",role,33840240,6898172851103
26264155,"Petty, Jones and Hamilton",ever,53387871,100340635996
53107896,Tucker-Mcguire,true,68388664,9612624218444
78279825,Joyce Group,drive,82291306,7358973723457
96890125,Shepherd PLC,man,99907732,3077540662613
54460873,"Kelley, Hansen and Wallace",until,95051166,4476209619753
50007158,Carey Group,occur,38159669,7158229182095
30446286,"Miller, Lucas and Valentine",population,59393032,1853250316086
84569731,Pollard-Ho,might,37937898,2520068335612
29092163,"Barrett, Pierce and Morris",card,54942500,2135076447968
9609895,Simpson LLC,ball,6304345,5539982999190
53636316,"Green, Morales and Ward",attorney,99888154,385856634284
99295606,Wang Group,themselves,46946270,9046096527541
14506830,Reed-Cunningham,cut,45871831,8166508986093
78148975,Russell PLC,lot,69841851,4651676805057
99104912,Wood-Little,listen,24887030,9993259633735
87848073,Reyes-Valentine,above,80996954,2201420440489
65287158,Harrell LLC,himself,63567154,3262688028536
98458670,Castillo Ltd,country,24709785,1842615008403
80931009,Jackson PLC,effort,31968222,9081396964318
726960,Summers Group,and,70115546,9909623957289
5765790,Richard-Odonnell,explain,25661787,40146530972
91526071,Williams Ltd,should,86489768,9268147101798
83537430,Ferguson-Sanchez,later,96382470,6786803831312
43688064,Dominguez-Beck,believe,40522640,7312701477914
44140166,"Collins, King and Wallace",wear,25460118,4066000753615
23115515,Hernandez PLC,laugh,82782884,9817250069663
36524422,"Fuentes, Marquez and Cunningham",condition,61767577,1699340999785
26876760,Figueroa Inc,carry,85066719,3467258868748
62228747,Olson-Woodward,result,8933287,442227788153
46211632,"Powell, Kidd and Martinez",method,94073853,7095421434749
80691264,Hall LLC,house,72130250,132837586616
16489703,Huff Inc,morning,70202821,6068106494617
54983357,Lutz Ltd,bed,4773379,9436059219503
88787388,Davis-Mayo,end,71010003,2953748367088
54230750,Jones PLC,rise,34913795,4981592615056
11139355,Mcintosh PLC,see,59580667,5055261773253
93184759,"Dudley, Lee and Hall",them,90684229,6986924397247
72195105,Cabrera-Pearson,wish,99426036,6170485599101
66514686,Black-Payne,case,55787481,6062550978435
46814801,"Collier, Dean and Wu",together,48732208,1531030081518
74397188,"Jefferson, Tucker and Anderson",age,50838489,7696089310941
85030904,"Vargas, Swanson and Kelley",example,51865220,1813495552990
78015422,Fitzpatrick Inc,increase,81738116,7722930751576
48279972,Estrada PLC,gas,57296492,4302857559791
31717708,"Cunningham, Hughes and Terry",financial,56819352,8183076331872
37227631,Becker-Sanchez,almost,67680961,5095218947629
16596772,Grant-Turner,history,85715308,1351753194524
44761492,Mccoy Ltd,around,59549643,9999889601239
62392065,Owens LLC,down,18456040,7672470104345
6960722,Jackson Ltd,staff,24427916,1925433846584
31552803,Gaines-Avila,evening,14807125,4086661568762
8976450,Byrd-Mcclain,hot,14066525,9150804469473
65904818,"Miller, Howell and Roberts",candidate,11378060,2711382932167
84549528,"Hoffman, Cuevas and Wang",democratic,83777225,3370698770803
11407796,Morales Group,property,22634896,6745270070040
22860707,Boyd PLC,different,41447775,9408794103914
91516173,Stephens-Payne,national,60080291,2241577597349
22353229,Williams and Sons,keep,17556653,6307819504411
77237748,Martin PLC,out,93369182,7300928072365
94751681,Richardson-Lloyd,side,8920870,2069088666880
89556763,"Wallace, Camacho and Brown",paper,97940119,8417297576708
17963080,Morrison Group,dark,89054394,3245381401108
38346634,"Gonzalez, Potter and Walker",condition,29829489,190136099907
7956022,Sellers-Rodriguez,always,97260505,5123241069292
63387054,Turner-Glenn,before,41114295,9101654707160
60863442,Brennan-White,popular,8749339,1346459286892
85958445,Torres-Stokes,process,96729096,637181781993
18035159,Sellers-Norman,run,38336468,1993530010913
56981255,"Rios, Rodriguez and Trevino",consider,58723526,4064396049942
7082847,Smith-Hays,response,59085602,9089418719743
67618025,Walters-Berger,society,57074511,9476495300022
49890427,"Johnson, Gross and Riley",arrive,97524998,7506804915330
74946006,Hutchinson-Webster,myself,11556366,7644701039538
91333596,Thompson LLC,agent,84521243,7067582431683
46988328,Cook-Rush,well,60557301,3342721960144
47855267,"Potts, Elliott and Smith",tonight,36433015,1871595893461
25935523,"Pena, Evans and Martin",bank,49197163,4728216698533
4104321,"Hansen, Ray and Baker",lawyer,75986950,1147933799752
57309178,Brown LLC,important,10323259,653366858492
75263528,"Robinson, Cox and Odonnell",recently,32859961,6184111942729
45877444,Lara-Gibson,economy,49701180,6253639799141
58379770,Henderson-Rodriguez,listen,59237018,7305896363206
36612292,"Montoya, Rodriguez and Pace",tend,81896251,4602317228645
89934764,"Williams, Garza and Cortez",score,13708824,4120260947398
98680424,Warner LLC,base,32934500,6550587504057
32581457,Collier-Houston,thank,38841204,872292725758
92143358,"Reyes, Park and Hogan",gun,13662693,545633940245
22262926,"Guerrero, Wallace and Wheeler",citizen,47139579,5095218947629
25140877,"Brewer, Mcgee and Meyer",probably,12094762,7180272502500
94261211,Norton-King,gun,48606522,2638808249721
7956571,Wolf-Lee,appear,43207552,8743219032517
20528158,"Harrison, White and Cooley",two,91579742,3140287322289
61659694,"Payne, Nichols and Adams",gas,35526425,5667363489662
64172276,Lambert Group,gas,22445499,7854669043492
37292179,"Page, Gentry and Golden",follow,46286530,1931401618844
73514265,Harmon-Jones,travel,60087604,5071788907299
62478034,Carr-Thomas,director,38471514,2618689700446
81652084,Gutierrez PLC,chair,8142017,9619401032892
78840476,Hunter-Donovan,significant,88993496,6922089561151
13412030,Collins-Sullivan,notice,58548262,7505059042976
94715390,Wilson LLC,suggest,92932798,9344357602740
2140615,Wallace and Sons,medical,98687456,3014480014216
98496243,Brewer-Strickland,modern,94463153,8521478858819
19592056,"Faulkner, Allison and Davis",laugh,68650298,8570605134312
29994588,Hatfield LLC,language,57487205,2714133387880
42487039,Mercado-Smith,seat,87565139,6278652087486
44442317,Kelley Ltd,south,95588294,6280520515301
93961922,"Pittman, Pham and Kirby",more,75442079,5198216105034
9023258,Lopez Group,describe,96557176,5531254998515
70551250,Ward Ltd,may,64581532,2772529136484
40788969,Jackson Inc,dream,96965867,9552945512386
17401309,"Murphy, Ortiz and Gonzalez",interesting,26942927,2959397624139
71838871,"Gonzalez, Griffin and Foster",throw,40364916,3985295041300
46827786,"Bennett, Anderson and Anderson",add,5559602,3480578260473
28981578,English LLC,name,41863595,6838537195406
14931592,"Schneider, Griffin and Lee",song,45461096,5454235793868
346055,Davis-Adams,particularly,35047658,9046096527541
75519824,"Barker, Cox and Mckenzie",administration,46451006,1189400417005
15725233,"Walker, Russell and Snyder",main,62287784,263901276865
80644365,Martinez Inc,shoulder,13945738,6539406082842
54352559,"Johnson, Morse and Walker",analysis,24671677,213762529227
73028902,"Gonzalez, Mendez and Phelps",his,85824914,8274060310840
68854128,Roberson LLC,my,98467130,5303624209357
97890628,Phillips Inc,approach,38921515,3021063255709
55869385,"Lara, Nguyen and Romero",charge,58419142,8276545019894
63750256,"Mcpherson, Barron and Vincent",responsibility,48821541,8354603595498
76043058,Brown-Vasquez,professor,86333442,5610863709661
27938899,Cowan PLC,wind,3837878,5159995524171
86726719,Evans-Patterson,catch,97722576,7083558020188
37735801,Lopez-Greene,probably,72417627,779109868074
72567739,Gallegos-Chapman,watch,46286391,4967397591626
89346627,Martinez PLC,prove,13310851,269230289591
61409226,Hall PLC,find,8908733,3162433043781
99887248,Phillips Ltd,dream,16339669,9505818147723
49784215,Foster-Parker,guess,71472437,1208407715294
45101166,Gonzalez Group,two,51439508,9546587229823
39017137,"Alexander, Long and Williams",point,22487219,3636661825437
17519102,"Perez, Johnson and Bautista",staff,47718256,3070623636185
92325637,"Hicks, Fisher and Johnson",their,16136091,278124822107
96463854,Deleon-Galloway,bad,30214372,3368101788809
20811700,"Smith, Woodward and Mays",form,41968390,8711551460364
6040197,Clarke and Sons,change,96182443,5492588356165
52173822,"Velasquez, Ali and Jones",summer,36239653,7259151281875
4179971,"Frost, Douglas and Marquez",two,92194259,2767798262420
22030593,Larson-Hobbs,standard,49773217,4412414905308
61258830,Frost Inc,guess,69086517,6786209010204
70748879,Howard LLC,push,99383264,5187457876802
88086771,Lee Group,none,96834443,5513971775149
97504321,"Roman, Rodgers and Marquez",relationship,61368165,7961367304222
70048158,Miller-Thompson,arm,94666635,549097675042
17562752,Huynh-Powell,husband,70112361,3780853870234
44678887,Patrick and Sons,impact,57754928,9640906664079
70353855,Bell Inc,job,65537153,6564701918687
44234056,Rivera-Hodges,early,63359383,4944805936706
28799629,Martinez-Jackson,state,96260156,2696628970490
89276775,Townsend-Williams,director,18946958,3540843112288
76339327,"Hurley, Wilson and Harris",heavy,98450607,8585721109261
76507199,Lawson PLC,along,89537247,373251597230
14575356,"Walker, Fowler and Harris",ask,139509,9918618861443
68755740,"Ruiz, Novak and Scott",fight,95955162,4321281644693
37784874,"Young, Jenkins and Fernandez",notice,4849856,2182994901600
98044843,Day LLC,produce,45643319,3793243906146
72469309,"Reid, Bradford and Brown",of,51663487,7755573038904
61972219,Aguilar-Clarke,under,89137145,7228860070512
51631340,"Lopez, Montoya and Jones",cultural,26414465,8081452431679
89509429,Rose Group,ball,89934066,403332446499
65144721,"Davies, Hernandez and Torres",live,15396165,832979346412
92761141,Adams-Cole,mouth,76925448,3199689068589
94012624,Vang Ltd,foot,6771612,1247415822127
10277982,Bauer-Carpenter,have,16113464,8239458976945
11461367,"Stevens, Martinez and Edwards",bag,97279309,1213262657400
30586314,Duke-Marshall,goal,50522220,2300714423149
78806462,Spencer-Mueller,those,44320184,3324410914583
94946140,Welch-Johnston,best,24348275,3316376377403
34132708,"Parsons, Mckay and Gross",sister,1507362,5256303368164
15313142,Webb Inc,score,68112932,7256544632995
68012066,Graham Group,act,15802138,7644239491514
5212516,Nichols-Harris,road,95806291,5393965397835
24629574,Gutierrez-Davis,wish,64005420,4351992475828
61257410,Blake Ltd,cover,41862281,6469940757107
71908209,"Bridges, Neal and Turner",finally,64174355,5792232606483
58427499,Turner-Anderson,many,62372093,3742159120243
57188792,Alvarez Ltd,American,91801133,431101527823
6194772,Graves Ltd,popular,20562821,4773578767322
58785708,Avila Inc,able,74296350,7278928575772
41717956,Lee-Bennett,candidate,37842839,2489029505673
94415,"Wells, Norris and Johnson",that,6345056,7110202612839
32232476,Allen LLC,week,39844073,4678024219809
96785272,"Pearson, Lopez and Moon",letter,9810410,3953867894312
72396687,"Moore, Ortiz and Carpenter",attack,37180529,7596859435986
94783055,Jones-Wilson,culture,58529160,9063037278310
29736360,Cruz Ltd,dream,80505442,7596490226588
99348569,Lester Inc,walk,61368165,8489759386891
84981761,"Smith, Walker and Bass",meet,56280102,1902873174958
66177449,"Rush, Forbes and Wong",return,73251593,3954872272300
76828758,"Hunter, Morales and Taylor",value,9610859,7488073229343
43173560,Rodriguez Ltd,listen,20399370,7413970589323
64461968,"Brown, Gomez and Casey",song,96588907,3969051560438
98605251,Nelson LLC,offer,40815865,5828641595922
2840037,Peterson PLC,from,83726200,6804342091498
28966247,Jefferson-Fowler,however,31586583,8789878335718
26665921,"Nash, Lucas and Vargas",they,57345519,409447268670
29953183,Carr Inc,whatever,74649573,7963496596271
67619281,Lewis Ltd,rest,78723587,4707148846552
92984967,Miller-Calhoun,last,3703142,8492714685759
32967975,Ramos-Bailey,until,36960730,2924917063273
5250303,Hayes Inc,born,3421487,3683304414297
96556361,"Durham, Dominguez and Stuart",who,52779706,1193818207448
60658241,Figueroa-Holmes,part,28851632,2824600222603
5107138,Wagner Ltd,save,96178435,168956181045
48639362,Hall Inc,glass,3388897,8350312677806
46080470,Sawyer LLC,become,40089251,5209802192526
33253963,Jackson-Wagner,drive,72951617,823503605150
96665447,Collins-Newman,find,11389285,1243251429687
46347252,Torres Group,education,15617020,9127860554247
51730898,Moore-Mora,process,32920375,5425918660491
41979196,Dunlap-Miller,employee,81414745,1802974336110
86865179,"Rivera, Weiss and Randolph",see,5636132,6548507418515
50847831,Martinez-Lang,letter,14123785,4163345549357
72128391,Owens-Noble,guy,41119088,5857454527873
18619644,"Woods, Mcintosh and Flores",sometimes,56698375,5171244179567
14547012,Hubbard-Thompson,until,45257396,5653968309315
68959878,"Fitzgerald, Krause and Barrett",future,255224,9551691655860
7299756,Hansen and Sons,crime,38389019,7946749546433
34226635,Miranda Group,that,43885943,4040856159517
27185247,"Edwards, Myers and Guzman",nation,94386424,1083432490908
54513623,"Johnson, Chavez and Phillips",husband,76608050,7925760296988
76641263,Jones Inc,former,17527459,5074571607481
97795578,"Terry, Cabrera and Mathews",church,34894268,3450079866051
95362081,Aguilar-Good,support,78750771,4782826022193
77169889,"Smith, Baker and Williams",thought,58110815,9237464598488
44638506,"Miller, Harris and Wade",might,7694120,3519508072458
91660143,Porter Group,low,5243960,6619733228190
52705212,"Hoffman, Wade and Fritz",clear,79190050,6322170471910
61917086,Joseph PLC,material,95751694,5857454527873
5214922,"Holden, Shelton and Torres",magazine,1867747,1164967081982
97998154,Flores-Gordon,within,71977031,6407108592894
1073998,Hancock Ltd,computer,39842339,3021782268982
68428613,Holloway-Jones,student,99949055,8922482763706
48743036,Sanchez-Wagner,sense,32934500,1828214407877
72098239,"Hunter, Mcdaniel and Daniels",car,81779600,9163989258950
42766466,"Roberts, Murphy and Watson",baby,76073008,3138871193023
63890353,Conner Inc,program,75373911,4004983182182
38895128,Smith PLC,necessary,71514525,8848719895184
35992736,Moore LLC,sea,4485427,8531118783250
2957339,Robbins-French,even,52850607,7855137340081
11416260,Jones-Riley,more,85631678,2701856036420
45753102,James PLC,school,49349091,2724321281170
50374554,Haas-Rangel,remember,41241776,4572124434437
1072559,Morris-Peters,expect,24355833,6355602716836
6736712,Lee-Morris,onto,7749334,3504813392876
54730627,"Thomas, Rogers and James",born,99597780,9355098307726
15181306,"Gardner, Kelly and Collins",explain,83420094,3303494482153
84581978,Kim-Watkins,out,97852942,5893177905648
59220961,Dodson-Jones,those,14182873,9436059219503
73043497,"Richardson, Lee and Harvey",nearly,61456852,6940743597495
80635504,"Coffey, Ortega and Stanley",film,67374404,4195376032887
24472430,Miller-Richards,product,96877364,3866441283917
59377471,"Terry, Stewart and Mills",answer,49359405,8515952955991
61331212,Perry-Hayden,generation,89278290,8527880873899
17444323,Burch and Sons,agreement,85258934,1264824706242
34378358,Wagner LLC,lot,27105714,3575154675476
81108868,"Murphy, Cooke and Thompson",kitchen,99025903,1400824968369
33867811,"Wood, Bernard and Maldonado",once,69307316,8291029805609
67958151,Austin-Harvey,president,87722586,2567918574650
10343432,Rhodes Group,fire,95102135,7590710937262
12888508,Adkins-Garcia,most,41004346,6442332767069
22756169,Robinson-Curry,manager,97454113,2100934792272
46898481,Davis and Sons,tonight,962451,6455712810912
43017224,Murray-Jackson,form,3358670,7361321733643
81138300,"Carr, Alvarez and Hooper",stay,9205401,315396881882
82541847,Jackson-Barrett,individual,41379569,8961001621822
15905425,Brown-Williamson,central,52783905,9852912367845
52941307,"Smith, Hill and Smith",but,32335930,6104971254951
56071323,"Odonnell, Williams and Perez",physical,2958298,4966373263685
50816737,Reeves-Rios,feeling,10710555,5477165256745
15538223,"Lopez, Henderson and Williams",head,51523951,4278563866549
36775398,"Anderson, Wang and Martinez",education,59125819,3924563161742
11864615,Newman-Smith,eat,90460032,8053656725214
56089686,"Garcia, Pennington and Manning",subject,19201530,5933057402294
43199979,Wade Inc,guy,72418071,9284025470773
70871088,Holt-Long,senior,73474040,3802797741048
92366124,"Archer, Wilson and Gilbert",million,25512875,9986537780475
60616041,"Rogers, Bailey and Evans",picture,16567455,7016288332623
61639895,Weber-Johnson,wonder,79759406,7559945744544
99877468,Fox-Lopez,everyone,5413998,2475793210355
66619446,Duncan-Green,ok,45620828,1597909175052
21337115,Jensen Ltd,admit,75462224,1434064889284
94480222,Meyers Inc,particularly,20184340,3948048629575
27428898,Delacruz-Reed,shake,92495210,7002248488334
94415263,Greer-Anderson,control,87917903,7906303341574
74599986,"Johnson, Tran and Hall",ahead,49273275,4866968353077
55688286,"Richardson, Cruz and Le",receive,34788920,7031631519863
91828005,Adams and Sons,happy,27817889,8511044061044
92590542,Landry LLC,situation,90062039,6881720755188
62013858,Soto-Ramirez,build,22507813,8929859619980
43551008,"Smith, Martin and Newton",here,92649704,2518028642463
22559127,Lopez-Myers,training,45731274,3947353583337
40618623,"Bryant, Ellison and Johnson",operation,53252022,7807146195201
96658378,Dunn Ltd,star,76894247,7704922256234
64391970,Petersen Inc,impact,34969722,9697414175677
35832926,"Thomas, Gilbert and Vance",painting,20486198,2088827612217
69021683,Mcdaniel-Smith,growth,10282917,4120108097802
72007547,Miller-Wu,leg,26214572,8435481443218
41667725,Johnson-Taylor,girl,42998649,4731835186857
25918259,"Knight, Moore and Woods",until,22380726,5948525326292
27009844,Henderson-Donaldson,method,33894240,4798492589199
6940676,Klein-Floyd,here,88660614,4842418550535
57180688,Powell PLC,anything,64764404,7009510540365
54894832,"Manning, Hall and Malone",tax,53096714,794417554255
58004911,Dickerson-Hill,level,98117262,9295068012361
10505192,"Green, Perez and Hunt",return,95945895,978773720865
12071530,Fitzgerald-Gibson,along,44328128,392837095459
73859008,Kirk LLC,wind,9169262,9643104681589
22418086,Smith PLC,sport,5465111,9627377113007
12680331,Bruce-Madden,wife,33885034,557007907533
42351200,Jacobs PLC,grow,97002395,1173019438409
50885674,"Mason, Young and Smith",rich,11870117,9344667634675
57889991,Mata-Jones,through,67352000,1144931050970
